"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","3280","What If","9042","김재환","So many things I wish I could do better So here I am just dont know what to say 수 많은 생각 많은 감정 그 속에 매일 서 있어 내 무거운 맘을 너는 잘 알아 어디 말할 수 없던 일들까지 난 네 앞에선 하루 종일 달리듯 말해 I didnt know how much I really needed you 늘 기댈 수 있어 편안했던 그런 사이 But what if this is all 내 생각보다 더욱 특별한 편안함보단 어딘가 다른 Oh What if we make it all 텅 비어버린 마음이 커져 갈 때 허전하고 슬퍼 우울해질 땐 난 답을 적듯 당연하게 너에게 가곤 했어 한 걸음 걸음마다 숨이 찼던 나는 어디 멀리 사라져 버려 이 모든 게 다 네 옆에선 가볍기 만해 I didnt know how much I really needed you 늘 기댈 수 있어 편안했던 그런 사이 But what if this is love 소중함보단 조금 커다란 그리움보단 깊은 아련함 Oh What if we make it love What if this is love 떨어질수록 아픈 마음이 지날수록 깊은 감정이 Oh What if this is love 어느 날 네가 없는 날에 견딜 수 없이 아려왔어 그날의 난 알 수 있던 거야 This is called love This is called love This is called love Oh This is called love"
"2","3280","아름다운 한 사람","4705","케이윌","그대의 하얀 얼굴이 맑은 그 눈빛이 내 가슴을 다시 뛰게 만들어 그대의 따뜻한 손이 날 향한 목소리가 나를 안아주네요 이거 하나만 기억해요 그대만 바라보는 진심을 아름다운 내 사람 가슴 떨리게 하는 나만의 한 사람 나에겐 그런 사람 비가 또 내려오면 함께 맞아줄 둘도 없는 그런 사람 바로 그대에요 그대의 좋은 향기가 그대의 미소가 나에겐 세상 전부가 됐으니 떠나가지는 말아요 그대가 없는 나를 생각할 수 없어요 이거 하나만 기억해요 그대 없이 난 안된다는 걸 아름다운 내 사람 가슴 떨리게 하는 나만의 한 사람 나에겐 그런 사람 비가 또 내려오면 함께 맞아줄 둘도 없는 그런 사람 바로 그대에요 때론 슬플 때마다 그대 곁을 지켜줄 그런 사람이 바로 내가 됐으면 내 마음 들리나요 이 마음 보이나요 그대도 같다면 내 곁에 머물러요 아직도 모르나요 그대뿐이죠 계절은 변한다 해도 난 변하지 않죠"
"3","3280","그렇게 넌 내게 빛나","8598","휘인 Whee In","따뜻한 꿈 속에 있나 봐 아직 난 널 바라보고 있어 선명하게 난 느낄 수 있어 혹시 너 꿈에서 깰까 봐 네가 현실에 달아날까 어떤 말도 난 조심스러워 그렇게 너의 곁에 다가가 조용히 나의 맘을 말해볼게 한가지 너의 눈의 진심을 기억해 따뜻한 마음이 난 소중해 그렇게 넌 내게 빛나 오늘이 더 그래 나에게 넌 꿈을 만들어줘 오랫동안 깨지지 않을 그 곳에 난 늘 다시 행복해져 따뜻한 너의 손을 잡아 밤이 새도록 이야기해 시간은 더 우릴 기다려 줘 그렇게 한참 동안을 기대 조용히 나의 맘을 이야기해 한가지 따뜻한 그 말들을 기억해 나에게 준 꿈들을 사랑해 그렇게 넌 내게 빛나 오늘이 더 그래 너의 온도를 느낄 수 있어 아주 가까이 니가 보여 그래서 난 행복할 수 있어 가끔은 너와 나의 거리가 닿지 않을까 두려워져 하지만 눈을 감아보면 그 속엔 온통 너야 내 맘 속엔 온통 너로 가득해 오늘 난 너의 곁에 있을래 따뜻한 너의 맘에 기댈래 이렇게 난 너에게 가 오늘을 기억해 나에게 넌 꿈을 만들어줘 오랫동안 깨지지 않을 그 곳에 난 늘 다시 행복해져"
"4","3280","너의 밤은 어때 취향저격 그녀 X 정은지","14997","정은지","왜 오늘따라 생각이 많은지 눈을 감아도 잠은 오지를 않고 한참을 멍하니 침대 위에 누워서 또 너를 그려보네 오늘 같은 밤엔 궁금해지곤 해 지금 너의 방도 불이 켜져 있을까 나와 같은 달을 보면서 긴 밤을 보내고 있을까 너의 밤은 어때 이렇게 잠 못 드는 밤이면 내가 줬던 꽃다발을 생각하며 한 번쯤은 날 위한 예쁜 미소를 너는 지었을까 나의 밤은 그래 이렇게 잠 못 드는 밤이면 처음 느낀 그날의 향기가 나 오늘도 네가 많이 보고 싶나 봐 유난히 긴 오늘 밤 네가 내 마음을 알아주지 않아도 괜찮을 거라 생각했는데 사실은 저 하늘에 별들처럼 항상 네 곁에 있고 싶어 너의 밤은 어때 이렇게 잠 못 드는 밤이면 내가 줬던 손 편지를 꺼내보며 한 번쯤은 날 위한 예쁜 미소를 너는 지었을까 나의 밤은 그래 이렇게 잠 못 드는 밤이면 처음 느낀 그날의 향기가 나 오늘도 네가 많이 보고 싶나 봐 유난히 긴 오늘 밤 나의 밤은 그래 이렇게 잠들지 못할 때면 자꾸만 너의 모습이 떠올라 생각보다 널 많이 좋아하나 봐 네가 보고픈 이 밤"
"5","3280","My Love","11988","조유리 아이즈원","혼자 나 있어도 그리워져 너의 따스한 미소가 저 햇살마저도 네 눈빛 같아 모두 너로 보여 저 하늘은 너의 품속 같아 저기 구름은 네 얼굴 같아 너의 곁으로 달려가고 싶은데 너무 보고 싶어져 조금만 더 날 기다려주겠니 오래 걸리지는 않을 테니까 혼자 나 있어도 그리워져 너의 따스한 미소가 저 햇살마저도 네 눈빛 같아 모두 너로 보여 my love 괜히 콧노래만 스르둡두 네 생각에 바람은 너의 목소리 같아 나무는 기댈 어깨만 같아 꽃들은 너의 좋은 향기와 같은걸 너의 모든 게 좋아 널 향한 내 고백을 듣고 있니 나의 이 노래를 받아주겠니 혼자 나 있어도 그리워져 너의 따스한 미소가 저 햇살마저도 네 눈빛 같아 모두 너로 보여 my love 너의 품속으로 나 네가 있는 곳에 나 지금 가고 싶어 나 한순간도 널 잊고 싶지 않은데 항상 내 곁에서 있어주겠니 너의 하나하나가 생각나 또 그리워지는 순간"
"6","3280","나의 시간은","37159","백현 BAEKHYUN","한 걸음마다 난 너를 따라 발을 맞춰 나란히 함께 가고 있어 매일 난 니 어깨에 맞춰 나의 팔을 내어 두르면 세상엔 온통 우리만 가득해 Whatever You want Whatever You say 너와 늘 만들어갈게 Whatever You want Whatever You say 니가 늘 웃을 수 있게 니가 보는 난 변하지 않아 그 어떤 이유라도 네게 남을게 지금 모습 이대로 까마득한 내일 지울 수 없는 오늘 불안할 테지만 버거울 걸 알지만 내가 니 손을 잡아 줄 거야 모든 게 바뀌고 많은 날이 가도 나의 시간은 니 곁에 멈출 거야 정신없이 살다 언제 돌아봐도 니 곁에 늘 난 Whatever You want Whatever You say 너와 늘 만들어갈게 Whatever You want Whatever You say 니가 늘 웃을 수 있게 니가 보는 난 변하지 않아 그 어떤 이유라도 네게 남을게 지금 모습 이대로 언젠가는 지금을 떠올리는 날 온다면 반짝이는 순간들로 기억 되어지길 Whatever You want Whatever You say 너와 늘 만들어갈게 Whatever You want Whatever You say 니가 늘 웃을 수 있게 니가 보는 난 변하지 않아 그 어떤 이유라도 네게 남을게 지금 모습 이대로"
"7","3280","우연일까","9606","하성운","언제부터인지 그 미소가 낯설게 느껴져 자꾸 생각하게 돼 한참 생각했어 조금 달라진 내 마음의 조각 넌 알고 있는지 잊지 못한 하루 그 눈빛 네 온기 함께 걸었던 그 거리 그 떨림 전부 다 우연일까 그 작은 떨림이 흔들리는 바람이 뭔가 좀 달라서 다시 널 생각하게 돼 저 밤하늘의 달처럼 더 커져만 가는 너는 우연이었을까 우연이 아닐까 그때는 몰랐어 모든 계절 속에 네가 있단 걸 이제야 알았어 잊지 못한 하루 그 눈빛 네 온기 내게 입 맞추던 입술 그 떨림 전부 다 우연일까 그 작은 떨림이 흔들리는 바람이 뭔가 좀 달라서 다시 널 생각하게 돼 저 밤하늘의 달처럼 더 커져만 가는 너는 우연이었을까 우연일까 그 모든 순간이 너를 향한 마음이 자꾸만 커져서 이젠 숨길 수가 없어 저 밤하늘의 별처럼 나를 비춰주던 너는 우연이었을까 운명이었을까"
"8","3280","내일은 고백할게","17166","태연 TAEYEON","음  think about you you are everything i wanna stay 늘 네 곁에  투명한 널 바라보네 나의 입술이 너를 또 불러보는걸  내 맘을 숨겨도 다 알 것 같아서 두 눈을 본다면 느낄 것 같아서  한걸음 뒤에서 바보처럼 난 서성이지만  i will be on your side 널 바라보면 볼수록 우우우  솔직하게 말을 해줘 너도 나와 같다면 말이야 내 곁에 다가와줘  when i need you just close my eyes  but you dont know 내 진심을  너의 이름을 부르면 올 것만 같아서 혼잣말로 불러보는걸  i will be on your side 널 바라보면 볼수록 우우우  솔직하게 말을 해줘 너도 나와 같다면 말이야 내 곁에 와줘  생각하면 할수록 기억하면 할수록 나는 알아 사랑이란걸 말야  우 잠시 눈을 감아도 보고싶어지는 너야 같이 있고 싶어져  너의 맘을 알고 싶어 우우우  처음 만났을 때부터 지금까지 난 그대로인데 넌 모르지만  always by your side 네 곁에 내가 있고 싶은데  아직 용기가 잘 안 나 한걸음씩 네 곁에 가볼게 내일은 고백할게"
"9","3280","가까운 미래","2724","윤종신","못 보던 일들이 자꾸 일어나는 요즘 우리 이별도 있었네 누가 알았겠어 널 그리워할 날들이 내게 다가올 줄 너는 알고 있었니 불확실한 날엔 니가 있어 꼭 붙잡던 끈 같았던 가까운 미래 세상이 싹 다 망해 버렸으면 내심 바랬어 모두 슬프고 다들 외롭고 위로 따윈 없는 지난 날만 그리운 세상 다가올 날들을 다 그럴 듯 하게 말해 어떻게든 되겠지 어쨌든 넌 없겠지 이러다가 꾸역 꾸역 산다 배시시 실없는 적응 가까운 미래 세상이 싹 다 망해 버렸으면 내심 바랬어 모두 슬프고 다들 외롭고 위로 따윈 없는 지난 날만 그리운 가까운 미래 세상은 역시 모두 이겨내고 힘을 내겠지 나만 지겠지 어설프게 끼어 그 틈에 살아가 지난 날의 너만을 안고"
"10","3280","나만 아는 사랑이었어","3938","KCM","안녕 우리 오래된 사이지만 아직도 어색해 너는 내게 하늘 위에 얹어놓은 예쁜 구름들 같아 많이 좋아한다고 내가 감히 사랑한다고 고백하면 네가 사라질까 봐 그냥 친구로 남기로 할래 예쁘게 기억될 나만 알고 있는 사랑이었어 조금 아프게 조금 오래 간직하고픈 나만 알고 있는 사랑이었어 안녕 이제 아름답게 물들여 맘에 넣어둘래 너는 내게 비 온 뒤에 그려진 예쁜 무지개 같아 많이 좋아한다고 내가 감히 사랑한다고 고백하면 네가 사라질까 봐 편한 친구로 남기로 할래 예쁘게 기억될 나만 알고 있는 사랑이었어 조금 아프게 조금 오래 간직하고픈 나만 알고 있는 사랑이었어 혹시 닿으면 네가 사라질까봐 내가 만지면 네가 없어질까봐 애태우면서 지냈었는데 이제 친구로 남기로 할래 예쁘게 기억해 나만 알고 있는 사랑이니까 너만 모르는 오래 지낸 편한 친구로 나만 알고 있는 사랑이니까 라라라 라라라 라라라라라라 라라 라라라 조금 아프게 조금 오래 간직하고픈 나만 알고 있는 사랑이었어"
