"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1611","사랑하기 때문에","35983","유재하","처음 느낀 그대 눈빛은 혼자만의 오해였던가요 해맑은 미소로 나를 바보로 만들었소 내곁을 떠나가던 날 가슴에 품었던 분홍빛의 수많은 추억들이 푸르게 바래졌소 어제는 떠난 그대를 잊지 못하는 내가 미웠죠 하지만 이제 깨달아요 그대만의 나였음을 다시 돌아온 그대 위해 내 모든 것 드릴테요 우리 이대로 영원히 헤어지지 않으리 나 오직 그대만을 사랑하기 때문에 커다란 그대를 향해 작아져만 가는 나이기에 그 무슨 뜻이라해도 조용히 따르리오 어제는 지난 추억을 잊지 못하는 내가 미웠죠 하지만 이제 깨달아요 그대만의 나였음을 다시 돌아온 그대 위해 내 모든 것 드릴테요 우리 이대로 영원히 헤어지지 않으리 나 오직 그대만을 사랑하기 때문에 사랑하기 때문에"
"2","1611","아마도 그건","608","최용준","아마도 그건 사랑이었을꺼야 희미하게 떠오르는 기억이 이제야 그 마음을 알아버렸네 그대 눈에 비친 나의 모습을 아마도 그건 사랑이었을꺼야 돌아보면 아쉬운 그날들이 자꾸만 아픔으로 내게 찾아와 떨리는 가슴 나를 슬프게 하네 차가운 내 마음에 남은 너의 뒷모습 열린 문틈으로 너는 내게 다가올 것 같아 한참을 멍하니 문만 바라보다 아침 햇살에 눈을 뜨고 말았네 사랑 그것은 엇갈린 너와 나의 시간들 스산한 바람처럼 지나쳐 갔네 사랑 그것은 알 수 없는 너의 그리움 남아있는 나의 깊은 미련들 차가운 내 마음에 남은 너의 뒷모습 열린 문틈으로 너는 내게 다가올 것 같아 한참을 멍하니 문만 바라보다 아침 햇살에 눈을 뜨고 말았네 사랑 그것은 엇갈린 너와 나의 시간들 스산한 바람처럼 지나쳐 갔네 사랑 그것은 알 수 없는 너의 그리움 남아있는 나의 깊은 미련들"
"3","1611","내게 남은 사랑을 드릴께요","8693","장혜리","스치는 바람결에 사랑 노래 들려요 내 곁에서 떠나 버렸던 그립던 사랑의 노래 들려와 내 맘은 떨려요 어둠이 지나가고 내일이 찾아오면 애태웠던 지난 날들이 내게로 살며시 다시 다가와 줄 것만 같아요 이제는 울지 않을래 이별은 너무 아파요 다시 떠난다해도 내게 남은 사랑을 드릴께요 기억하지는 않아도 지워지지가 않아요 슬픔 뒤 밀려드는 그리움 세월이 변한다해도 언제까지나 그대로 내곁에 머물러줘요  어둠이 지나가고 내일이 찾아오면 애태웠던 지난 날들이 내게로 살며시 다시 다가와 줄 것만 같아요 이제는 울지 않을래 이별은 너무 아파요 다시 떠난다해도 내게 남은 사랑을 드릴께요 기억하지는 않아도 지워지지가 않아요 슬픔 뒤 밀려드는 그리움 세월이 변한다해도 언제까지나 그대로 내곁에 머물러줘요"
"4","1611","추억속의 그대","4500","황치훈","희미해지는 지난 추억속의 그 길을 이젠 다시 걸어볼 수 없다 하여도 이 내 가슴에 지워버릴 수 없는 그때 그 모든 기억들 그대의 사랑이 지나가는 자리엔 홀로된 나의 슬픈 고독뿐 그대가 다시 올 순 없어도 지나간 추억만은 영원히 다시 돌아올 수 없는 사랑에 홀로 돌이켜 본 추억은 다만 아름답던 사랑뿐 다시 돌아올 수 없는 사랑에 홀로 돌이켜 본 추억은 다만 아름답던 기억뿐  희미해지는 지난 추억속의 그 길을 이젠 다시 걸어볼 수 없다 하여도 이 내 가슴에 지워버릴 수 없는 그때 그 모든 기억들 그대의 사랑이 지나가는 자리엔 홀로된 나의 슬픈 고독뿐 그대가 다시 올 순 없어도 지나간 추억만은 영원히 다시 돌아올 수 없는 사랑에 홀로 돌이켜 본 추억은 다만 아름답던 사랑뿐 다시 돌아올 수 없는 사랑에 홀로 돌이켜 본 추억은 다만 아름답던 기억뿐  다시 돌아올 수 없는 사랑에 홀로 돌이켜 본 추억은 다만 아름답던 사랑뿐"
"5","1611","세월이 가면","11679","최호섭","그대 나를 위해 웃음을 보여도 허탈한 표정 감출 순 없어 힘없이 뒤돌아서는 그대의 모습을 흐린 눈으로 바라만 보네 나는 알고 있어요 우리의 사랑은 이것이 마지막이라는 것을 서로가 원한다 해도 영원할 순 없어요 저 흘러가는 시간 앞에서는 세월이 가면 가슴이 터질 듯한 그리운 마음이야 잊는다 해도 한없이 소중했던 사랑이 있었음은 잊지 말고 기억해 줘요 세월이 가면 가슴이 터질 듯한 그리운 마음이야 잊는다 해도 한없이 소중했던 사랑이 있었음은 잊지 말고 기억해 줘요 세월이 가면 가슴이 터질 듯한 그리운 마음이야 잊는다 해도 한없이 소중했던 사랑이 있었음은 잊지 말고 기억해 줘요"
"6","1611","사랑은 유리같은 것","4599","원준희","정말 몰랐어요 사랑이란 유리 같은 것 아름답게 빛나지만 깨어지기 쉽다는 걸 이제 깨어지는 사랑의 조각들은 가슴깊이 파고드는 견딜 수 없는 아픔이에요 슬픔은 잊을 수가 있지만 상처는 지울 수가 없어요 오랜 시간이 흘러도 희미해질 뿐이에요 사랑하는 그대여 이것만은 기억해줘요 그토록 사랑했던 내 영혼은 지금 어두운 그림자뿐임을 슬픔은 잊을 수가 있지만 상처는 지울 수가 없어요 오랜 시간이 흘러도 희미해질 뿐이에요 사랑하는 그대여 이것만은 기억해줘요 그토록 사랑했던 내 영혼은 지금 어두운 그림자뿐임을 그토록 사랑했던 내 영혼은 지금 어두운 그림자뿐임을"
"7","1611","이밤을 다시 한 번","5554","조하문","아주 우연히 만나 슬픔만 안겨준 사람 내 맘속에 작은 촛불이 되어 보고 싶어질 때면 두눈을 감아버려요 소리 질러 불러보고 싶지만 어디에선가 당신 모습이 다가오는 것 같아 이젠 견딜 수 없어요 이 밤을 이 밤을 다시 한 번 당신과 보낼 수 있다면 이 모든 이 모든 내 사랑을 당신께 드리고 싶어요 조그만 낙엽들이 땅 위에 떨어지듯이 내 맘은 갈 곳이 없어요 어디에선가 당신 모습이 다가오는 것 같아 이젠 견딜 수 없어요 이 밤을 이 밤을 다시 한 번 당신과 보낼 수 있다면 이 모든 이 모든 내 사랑을 당신께 드리고 싶어요 이 밤을 이 밤을 다시 한 번 당신과 보낼 수 있다면 이 모든 이 모든 내 사랑을 당신께 드리고 싶어요"
"8","1611","바보같은 미소","1284","조갑경","그대의 눈빛은 언제나 나에게 세상의 모두를 얘기해 주지만 나의 어둡고 슬픈 뒷모습을 감싸주진 못해요 나의 미소는 언제나 그대에게 사랑의 모두를 얘기해 주지만 그대의 너무 화려한 미래를 밝혀줄순 없어요 그러나 알수없는 나의 맘 우리의 사랑이 얼마남지 않았어도 아름다운 그대 모습에 가리워져 바보같은 미소만 짓네  나의 미소는 언제나 그대에게 사랑의 모두를 얘기해 주지만 그대의 너무 화려한 미래를 밝혀줄순 없어요 그러나 알수없는 나의 맘 우리의 사랑이 얼마남지 않았어도 아름다운 그대 모습에 가리워져 바보같은 미소만 짓네 그러나 알수없는 나의 맘 우리의 사랑이 얼마남지 않았어도 아름다운 그대 모습에 가리워져 바보같은 미소만 짓네"
"9","1611","미소를 띄우며 나를 보낸 그 모습처럼","6546","이은하","날 위해 울지 말아요 날 위해 슬퍼 말아요 그렇게 바라보지 말아요 의미를 잃어버린 그 표정 날 사랑하지 말아요 너무 늦은 얘기잖아요 애타게 기다리지 말아요 사랑은 끝났으니까  그대 왜 나를 그냥 떠나가게 했나요 이렇게 다시 후회할 줄 알았다면 아픈 시련 속에 방황하지 않았을텐데 사랑은 이제 내게 남아있지 않아요 아무런 느낌 가질 수 없어요 미소를 띄우며 나를 보낸 그 모습처럼  그대 왜 나를 그냥 떠나가게 했나요 이렇게 다시 후회할 줄 알았다면 아픈 시련 속에 방황하지 않았을텐데 사랑은 이제 내게 남아있지 않아요 아무런 느낌 가질 수 없어요 미소를 띄우며 나를 보낸 그 모습처럼 나를 보낸 그 모습처럼"
"10","1611","유리창엔 비","2271","햇빛촌","낮부터 내린 비는 이 저녁 유리창에 이슬만 뿌려놓고서 밤이 되면 더욱 커지는 시계소리처럼 내 마음을 흔들고 있네 이 밤 빗줄기는 언제나 숨겨놓은 내 맘에 비를 내리네 떠오는 아주 많은 시간들 속을 헤메이던 내 맘은 비에 젖는데 이젠 젖은 우산을 펼 수는 없는 것 낮부터 내린 비는 이 저녁 유리창에 슬픔만 뿌리고 있네 이 밤 마음속엔 언제나 남아있던 기억은 빗줄기처럼 떠오는 기억 스민 순간 사이로 내 마음은 어두운 비를 뿌려요 이젠 젖은 우산을 펼 수는 없는 것 낮부터 내린 비는 이 저녁 유리창에 슬픔만 뿌려 놓고서 밤이 되면 유리창에 내 슬픈 기억들을 이슬로 흩어 놓았네"
