"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","2551","이 시간","4588","용주 YONGZOO","그대 외로운 눈빛에 비춰진 내 모습 날 어떻게 보고 있는지 알 것 같아 내가 딱 그런 눈으로 그런 마음으로 그댈 보고 있는 거 그 마음만 알아주면 돼요 어쩌면 서로를 잘 알면서 외면했었던 지난날이 많아요 그댈 떠나보내기가 싫었으니까요 그게 두려웠어요 하지만 이 마음이 더 소중해요 그대 외로운 눈빛에 비춰진 내 모습 날 어떻게 보고 있는지 알 것 같아 내가 딱 그런 눈으로 그런 마음으로 그댈 보고 있는 거 그 마음만 알아주면 돼요 어느덧 고요한 음악이 흐르는 차가울 것만 같은 별빛이 내리는 골목을 굽이굽이 돌아 내 곁으로 올 수 있는 이 시간 바로 지금 그대 외로운 눈빛에 비춰진 내 모습 날 어떻게 보고 있는지 알 것 같아 내게 기대어도 돼요 그대만 알 수 있죠 내가 어떤 맘으로 그댈 사랑하는지 딱 그런 눈으로 그런 맘으로 내게로 걸어와요 저 멀리 그대가 보이죠 지금"
"2","2551","Goodbye","147414","박효신","멀어져 가는 오후를 바라보다 스쳐 지나가 버린 그때 생각이나 기억 모퉁이에 적혀 있던 네가 지금 여기에 있다 이젠 멈춰버린 화면 속에서 내게 여름처럼 웃고 있는 너 어쩌면 이번이 마지막 Goodbye 오래 머물러 주어서 고마워 이 말이 뭐라고 그렇게 어려웠을까 이제 Goodbye 우린 다른 꿈을 찾고 있던 거야 아주 어린 날 놀던 숨바꼭질처럼 해가 저물도록 혼자 남은 내가 지금 여기에 있다 이미 멈춰버린 화면 속에서 내게 여름처럼 웃고 있는 너 어쩌면 이번이 마지막 Goodbye 오래 머물러 주어서 고마워 이 말이 뭐라고 이렇게 힘들었을까 손에 꼭 쥐었던 너와의 Goodbye 끝내 참지 못한 눈물이 나 어쩌면 오늘이 마지막 Goodbye 함께 했던 모든 날이 좋았어 이 말이 뭐라고 그렇게 어려웠을까 이제 Goodbye Goodbye"
"3","2551","이름에게","173608","아이유","꿈에서도 그리운 목소리는 이름 불러도 대답을 하지 않아 글썽이는 그 메아리만 돌아와 그 소리를 나 혼자서 들어 깨어질 듯이 차가워도 이번에는 결코 놓지 않을게 아득히 멀어진 그날의 두 손을 끝없이 길었던 짙고 어두운 밤 사이로 조용히 사라진 네 소원을 알아 오래 기다릴게 반드시 너를 찾을게 보이지 않도록 멀어도 가자 이 새벽이 끝나는 곳으로 어김없이 내 앞에 선 그 아이는 고개 숙여도 기어이 울지 않아 안쓰러워 손을 뻗으면 달아나 텅 빈 허공을 나 혼자 껴안아 에어질 듯이 아파와도 이번에는 결코 잊지 않을게 한참을 외로이 기다린 그 말을 끝없이 길었던 짙고 어두운 밤 사이로 영원히 사라진 네 소원을 알아 오래 기다릴게 반드시 너를 찾을게 보이지 않도록 멀어도 가자 이 새벽이 끝나는 곳 수없이 잃었던 춥고 모진 날 사이로 조용히 잊혀진 네 이름을 알아 멈추지 않을게 몇 번이라도 외칠게 믿을 수 없도록 멀어도 가자 이 새벽이 끝나는 곳으로"
"4","2551","이 마음","17399","펀치 Punch","그대여 가네요 그대여 안녕 말해요 여기서 잘 지내라고 오늘 참 기분 좋은 날이에요 그대의 향기로 나 배어 우리 아름다운 기억들로 담아요 사랑했던 기억들만 남겨요 사랑한단 말도 미안하단 말도 너의 마음속에 남아 눈물은 아껴요 웃으며 안녕 긴꿈을 꿨다고 생각할게요 오후엔 비가 내릴 것 같아요 참았던 눈물로 나 채워 우리 함께 듣던 그노래를 들어요 그대의 그목소리 난 들어요 햇살처럼 그대 따듯했던 미소 나의 마음속에 담아 봄이 오면 꽃이 될게요 밤이 되면 별이 될게요 그대 맘에 날 남겨줘요 나나나나나나 나나나나나나 이제야 가네요 여기서 안녕 계절도 어느새 변해가네요"
"5","2551","나침반","26438","이적","고단한 하루가 끝나지 않는 이미 늦은 저녁 전화기 너머 들리는 네 웃음소리 난 다시 일어날 수 있어 아직 내겐 너라는 선물이 있으니까 아직 이 황량한 세상 속에 너는 내 곁에 있어주니까 아침마다 쏟아지는 햇살이 부담스러울 때 어느새 곁에 다가와 잠든 네 얼굴에 난 다시 일어날 수 있어 아직 내겐 너라는 선물이 있으니까 아직 이 황량한 세상 속에 너는 내 곁에 있어주니까 어지러웠던 하루하루가 먹구름처럼 내 앞을 가로막아도 너의 눈빛이 마치 꼭 나침반처럼 내 갈 길 일러주고 있으니 아직 내겐 너라는 선물이 있으니까 아직 이 황량한 세상 속에 너는 내 곁에 있어주니까"
"6","2551","우리 여행","4301","소란 SORAN","여기 어때 조금 앉아있다 가자 낯선 사람들 우리도 여기 풍경처럼 멈춰 보면 어때 똑같은 길을 몇 번이나 헤매도 자꾸 웃음이 나 그대와 함께 가는 것 몰랐던 길을 걷는 것 이상해 낯선 두려움보단 편안함을 느껴 그대와 함께 가는 것 같은 방향을 찾는 것 이렇게 꿈결 같은 시간이 별빛처럼 소중하게 보여 밤하늘은 우릴 유치하게 하지 우리 여기에서 할아버지 할머니가 될 때까지 있을까 이렇게 가슴 시리도록 좋은데 자꾸 눈물이 나 그대와 함께 가는 것 몰랐던 길을 걷는 것 이상해 낯선 두려움보단 편안함을 느껴 그대와 함께 가는 것 같은 방향을 찾는 것 이렇게 꿈결 같은 시간이 별빛처럼 소중하게 보여 세상 어디도 아름다운 풍경도 가장 기다려왔던 이 순간도 모든 걸 다 준데도 소용없는걸 그 무엇보다 내게 중요한 건 그대와 함께 가는 것 낯선 두려움보단 편안함을 느껴 그대와 함께 가는 것 같은 방향을 찾는 것 이렇게 꿈결 같은 시간이 별빛처럼 소중하게 보여 우리 하루 종일 걷다가 보면 가장 소중한 걸 만나게 되길 우리 하루 종일 걷다가 보면 가장 행복한 걸 만나게 되길 별빛처럼 소중하게 작은 빛이 선명하게 보여"
"7","2551","괜찮아 사랑이야","69590","다비치","내 맘이 보이니 왜 사랑인거니 다시는 하지 말자던 사랑 참 많이 바보 같지 왜 행복 한 거니 니 얼굴이 떠올라 내 곁에만 있어줘 영원히 너를 꽃 흔들리듯 바람에 니가 다가와 내 맘 두드리던 그런 너를 사랑해 가슴이 아파 널 보면 괜찮아 사랑이야 부족한 이 맘을 또 나를 사랑을 받아 줄수 있겠니 나를 왜 웃기만 하니 내 눈을 바라보며 이 떨림을 간직해 나를 안아줘 꽃 흔들리듯 바람에 니가 다가와 내 맘 두드리던 그런 너를 사랑해 가슴이 아파 널 보면 괜찮아 사랑이야 부족한 이 맘을 또 나를 사랑을 받아 줄 수 있겠니 나를 이런 나를 사랑해줘 사랑해 널 oh love"
"8","2551","그대 떠난 뒤","12473","장범준","온종일 비가 온 날은 하얀 얼굴로 그대를 만나리 오랜 허물 모두 비우고 그대를 내 맘에 담으리 언젠가 그대와 나는 비를 맞으며 이 길을 걸었지 우리 서로 의지하면서 한없이 이 길을 걸었지 나 이제 외로움을 알아요 그대 나를 떠난 뒤 스쳐가는 지난 일들은 비처럼 내 마음을 적시네 나 지울 수 없는 지난 추억을 이제 와 생각해보네 이 비를 맞으며 걷던 이 길을 나 홀로 걸어가 보네 그대 떠난 뒤 언젠가 그대와 나는 비를 맞으며 이 길을 걸었지 우리 서로 의지하면서 한없이 이 길을 걸었지 나 이제 외로움을 알아요 그대 나를 떠난 뒤 스쳐가는 지난 일들은 비처럼 내 마음을 적시네 나 지울 수 없는 지난 추억을 이제 와 생각해보네 이 비를 맞으며 걷던 이 길을 나 홀로 걸어가 보네 그대 떠난 뒤 나 지울 수 없는 지난 추억을 이제 와 생각해보네 이 비를 맞으며 걷던 이 길을 나 홀로 걸어가 보네 그대 떠난 뒤 나 지울 수 없는 지난 추억을 이제 와 생각해보네 이 비를 맞으며 걷던 이 길을 나 홀로 걸어가 보네"
"9","2551","밤바람","6415","앤씨아","참 많은 사람 참 많은 상처 끄지 못할 잡음들 어쩔 땐 빨리 어쩔 땐 느리게 가는 시간이 원망스러웠지 넌 샤워를 마치고 맥주 한 캔 하고 싶다면 찾아갈게 너에게 나 그대 지친 하루 속 너를 감싸 주는 밤바람처럼 네 옆에 말로는 아무렇지 않을 너를 위해 찾아가고 싶어 밤바람 밤바람처럼 네게 가고 싶어 너의 하루의 끝에서 밤바람처럼 너를 미소 짓게 할게 이어폰을 끼고 사람들 사이에 섞여 음소거를 하겠지 혼자인 것 같겠지 외로운 긴 밤을 또 보내겠지 넌 아무렇지 않은 척 또 하루를 웃어넘길 네게 찾아갈게 지금 나 나 그대 지친 하루 속 너를 감싸 주는 밤바람처럼 네 옆에 말로는 아무렇지 않을 너를 위해 찾아가고 싶어 밤바람 밤바람처럼 네게 가고 싶어 너의 하루의 끝에서 밤바람처럼 너를 미소 짓게 할게 불어줄게 안아줄게 오늘 하루도 수고했어 정말 Ha ah Ha ah 이렇게 Ha ah Ha ah 너의 지친 마음 속 너를 감싸 줄 수 있는 사람이 내가 됐으면 해 말로는 내색조차 않을 너를 위해 밤바람처럼 찾아갈게"
"10","2551","가리워진 길 Sound Track Ver","3855","버나드 박","보일 듯 말 듯 가물거리는 안개 속에 싸인 길 잡힐 듯 말 듯 멀어져가는 무지개와 같은 길 그 어디에서 날 기다리는지 둘러보아도 찾을 수 없네 그대여 힘이 돼주오 나에게 주어진 길 찾을 수 있도록 그대여 길을 터주오 가리워진 나의 길 이리로 가나 저리로 갈까 아득하기만 한데 이끌려 가듯 떠나는 이는 제 갈길을 찾았네 손을 흔들며 떠나보낸 뒤 외로움만이 나를 감쌀 때 그대여 힘이 돼주오 나에게 주어진 길 찾을 수 있도록 그대여 길을 터주오 가리워진 나의 길"
