"","songtitlesum","songlyricsum"
"1","체념","행복했어
너와의 시간들
아마도
너는 힘들었겠지
너의 마음을
몰랐던 건 아니야
나도 느꼈었지만
널 보내는게
널 떠나보내는게
아직은 익숙하지가 않아
그렇게 밖에 할 수 없던
니가 원망스러워
왜 말 안했니
아님 못한거니
조금도 날
생각하지 않았니
좋아한다며
사랑한다며
이렇게 끝낼거면서
왜 그런말을 했니
널 미워해야만
하는 거니
아니면 내 탓을
해야만 하는 거니
시간을
돌릴수만 있다면
다시 예전으로
돌아가고 싶은 마음뿐이야
왜 말 안했니
아님 못한거니
조금도 날
생각하지 않았니
좋아한다며
사랑한다며
이렇게 끝낼거면서
왜 그런말을 했니
널 미워해야만
하는 거니
아니면 내 탓을
해야만 하는 거니
시간을 돌릴수만 있다면
다시 예전으로
돌아가고 싶은 마음뿐이야
그래 더 이상
묻지 않을게
내곁을 떠나고 싶다면
돌아보지 말고 떠나가
눈물은 흘리지 않을게
괜히 마음만 약해지니깐
내게서 멀어진
니 모습이
흐릿하게 보여
눈물이 나나봐
널 많이
그리워할것 같아
참아야만 하겠지
잊혀질 수 있도록
다시 사랑같은거
하지 않을래
내 마지막 사랑은
돌아선 너에게
주고 싶어서
행복하길 바래
나보다 좋은 여자
만나기를"
"2","사랑안해","그럴려고 그랬어 돌아가려고
너의 차가움엔
그래 다 이유 있었던거야
나를 만지는 너의 손길 없어진
이제야 깨닫게 되었어
내 맘 떠나간 것을
설마 하는 그런 미련 때문에
그래도 나는 나를 위로해
이제 이러는 내가 더 가여워
이제라도 널 지울꺼야
기억의 모두를
이제 다시 사랑안해
말하는 난 너와 같은사람
다신 만날 수가 없어서
사랑할수 없어서
바보처럼 사랑안해
말하는 널 사랑한다
나를 잊길바래 나를 지워줘

바보처럼 몰랐어
너희 두사람
아직 기억하려던 그건
그래 다 욕심이야
다짐했건만
매일 아침 눈을 떠
지나간 너에게 기도해
나를 잊지말라고
제발 지금 내가 바라는 하나
내 얘길 너무 쉽게하진마
차라리 나를 모른다고 말해줘
시간 지나 알게 될꺼야
내 사랑의 가치를
이제 다신 사랑 안해
말하는 난 너와 같은 사람
다신 만날 수가 없어서
사랑할 수 없어서
바보처럼 사랑안해
말하는 널 사랑한다
나를 잊길바래 나를 지워줘
내가 없는 내가 아닌 그 자리에
사랑 채우지마
혹시 만날 수가 있다면
사랑할 수 있다면
아프잖아 사랑한다
지켜보며 사랑한다
그 말 한마디를 하지 못해서"
"3","이런 엔딩","안녕 오랜만이야
물음표 없이 참 너다운 목소리
정해진 규칙처럼
추운 문가에 늘 똑같은 네 자리
제대로 잘 먹어 다 지나가니까
예전처럼 잠도 잘 자게 될 거야
진심으로 빌게
너는 더 행복할 자격이 있어
그런 말은 하지 마 제발
그 말이 더 아픈 거 알잖아
사랑해줄 거라며 다 뭐야
어떤 맘을 준 건지 너는 모를 거야
외로웠던 만큼
너를 너보다 사랑해줄 사람
꼭 만났으면 해
내가 아니라서 미안해
주는 게 쉽지가 않아
그런 말은 하지 마 제발
그 말이 더 아픈 거 알잖아
사랑해줄 거라며 다 뭐야
어떤 맘을 준 건지 끝내 모를
솔직히 말해줄래 제발
너라면 다 믿는 거 알잖아
네 말대로 언젠가 나도
나 같은 누군가에게
사랑 받게 될까"
"4","나를 좋아하지 않는 그대에게","나의 마음이 너무 뜨거워서
당신의 마음을
뜨겁게 할 줄 알았는데
당신의 마음이
너무나도 차가워서
나의 마음이
그렇게 식어 버렸어요
나의 사랑이
언제나 샘솟아서
당신의 마음에
모두 담아낼 줄 알았는데
날 담아두는 너의 마음이
그렇게 작을 줄 몰라서
나의 사랑이
모두 쏟아져 버렸어요
이젠 울지 않을래
나의 맘이 점점 식어가고
이젠 슬프지 않을래
날 좋아하지 않는 너인데
너의 눈빛에
나의 맘은 금이 가고
너의 말투에
내 맘은 와장창 다 박살 나고
너를 미워하고 비워내도
친구를 붙잡고 욕을 해도
혼자 끝내는 오늘까지도
넌 너무 예쁘구나
이젠 나 울지 않을래
나의 맘이
점점 식어가고
이젠 슬프지 않을래
날 좋아하지 않는데"
"5","열애중","아직 이별 중인 나에겐
끝이 아닌 것만 같아서
다른 사랑 중인 너지만
나는 아직 너와 열애 중
나도 너만큼만 헤어지고 싶어
아니 너보다 더 행복하고 싶어
너는 어떻게 날 잊었는지 가르쳐줘
아직 이별 중인 나에게
난 아직 열애 중
누구보다 뜨겁게 사랑해 열애 중
헤어져도 헤어진 적 없어
언젠가 내가 너와 이별할 수 있을까
너만 모르게 나는 아직 너와 열애 중
매일 이별하고 있지만
아직 너를 기다리는 중
나도 너만큼만 못돼지고 싶어
아니 너보다 더 나빠지고 싶어
너는 어떻게 날 잊었는지 가르쳐줘
아직 이별 중인 나에게
난 아직 열애 중
누구보다 뜨겁게 사랑해 열애 중
헤어져도 헤어진 적 없어
언젠가 내가 너와 이별할 수 있을까
아무도 모르게 여기서 널 멈추면
정말 이별이 될까 봐
그게 마지막이 될까 봐
널 후회하는 중
누구보다 너를 많이 원망하는 중
미워해도 미워한 적 없어
언젠가 내가 너를 잊고 살 수 있을까
너만 모르게 나는 아직 너와 열애 중"
"6","365일","우리 이별을 말 한지
겨우 하루 밖에 지나지 않았어
하지만 너무 이상하게도
내 맘은 편안해 자유로운 기분
이틀 이틀째가 되던 날
온 몸이 풀리고 가슴이 답답해
삼 일째 되던 날
내 심장 소리가 너무 커서 잠도 못 자
나흘 되던 날
눈 앞이 캄캄해지고
오일 되던 날
눈물만 주루룩 엿새 되던 날
가슴이 너무 허전해
하루 온 종일 먹기만 하네요
일주일 일주일이 되던 날
노래 속 가사가 모두 내 얘기 같고
드라마 영화 속에 나오는
삼류 사랑 얘기가 모두
다 내 얘기만 같아
한 달 한 달이 되던 날
니가 좋아 했던 긴 머릴 자르고
니가 싫어했었던 야한 옷을 입으니
이별이 이제서 야 실감나네
일 년 되던 날
널 많이 닮은 사람과 사랑에 빠져
행복을 찾았고
가끔은 너의 소식에
조금은 신경 쓰여도
그냥 뒤돌아 웃음 짓게 되네
사랑이 그런건 가 봐
세월이 약이였나봐
그 때는 정말 죽을 것 같았어
하지만 지금 사랑이
또 다시 아픔을 줘도
나는 웃으며 이별을 맞을래
사랑은 또 다시 올테니까"
"7","오늘 헤어졌어요","새하얀 머플러에 얼굴을 묻고
붉어진 눈을 깜빡이며 널 기다렸어
무슨 얘길 하고 픈지 그 말
알 것도 같은데 모르겠어
어색한 눈인사에 목이 메이고
한 발 물러 선
우리 둘 공간에 눈물 터지고
화가 나서 소리치듯 가란 내 말에
벌써 넌 아주 멀리 달아나 버렸어
오늘 헤어졌어요 우리 헤어졌어요
내 맘 알 것 같다면
옆에서 같이 울어줘요
나는 안되나봐요 역시 아닌가봐요
얼마나 더 울어야 제대로 사랑 할까요

귓가엔 심장소리 그대 울리고
지운 니 번호 지울수록
더욱 또렷 해지고
언제부터 어디부터 멀어진 건지
분명히 어제까진 날 사랑 했는데
오늘 헤어졌어요 우리 헤어졌어요
내 맘 알 것 같다면
옆에서 같이 울어줘요
나는 안되나봐요 역시 아닌가봐요
얼마나 더 울어야 제대로 사랑 할까요
참 좋았어 너무 좋아서 더 아프죠
사랑에 또 속은 내가 미워

그냥 나오지 말 걸 그냥 아프다 할 걸
우리 사랑한 기억
그게 널 붙잡아 줄 텐데
너는 내일을 살고 나는 오늘을 살아
아무도 아무것도 날 웃게할 수는 없어
오늘 헤어졌어요 우리 헤어졌어요
내 맘 알 것 같다면
옆에서 같이 울어줘요
나는 안되나봐요 역시 아닌가봐요
얼마나 더 울어야 제대로 사랑 할까요"
"8","정말 헤어지는 거야 With 죠지","시간은 약이 될 수 없네요
흐른 만큼 전혀 더
나아지지가 않아요
하늘은 부지런히 색을 바꿔 가지만
내 마음은 여전해요
그대만을 기다려요
그대의 하루는 어땠나요
바쁜 건 잘 알고 있지만
건강은 꼭 챙겨요
이런저런 마음이 쓰여서
그댈 놓지 못하는 이기적인 나예요
그댄 내 마음 같지
않을 텐데 잊었을 텐데
어쩜 혼자가 더 편할텐데
나와는 다를 텐데
그때 내게 주던 미소만이
내 밤을 헝클어
정돈되지 못한 얘기들은
여기 쌓여 가네요
한동안 취한 채로 보냈어
함께해도 웃을 일 없는
사람들 틈에서
아직 그대를 생각하는 내가 못나서
그냥 미안해져 모든 게
혼자만의 시간인 줄 알았었는데
우린 서로를 놓지 못한 채
여전히 그대로야
철이 없던 나 때문에 울던 그대인데
달래주지 못할 위로라면
여기서 멈춰야 해요
그래 모두 끝난 일인 걸
서로가 그리워 울어도
더는 이을 수 없는
시간이 약이 될 수 없단 아픈 얘기도
영원하진 않을 테니까
눈물을 타일러요
잊어 낼 수 있을 거라 얘기해줘요
그저 흔한 이별 인사라도
마음을 다 해줘요
누구보다 잘 해낼 수 있을 거예요
아무것도 더 쌓이지 않게
정말 헤어지는 거야"
"9","해바라기","바람소리에도 가슴이 글썽이나봐
그대일까 그대 보낸 미련일까
기다림은 꿈속에서도 뒤척이나봐
떠난 그대 혹시 오는 건 아닐까
기쁠때나 슬플때나 아플때도
함께 울고 웃어줬던
그대 못견디게 그리운데
사랑해요 사랑해요
세상의 말 다 지우니
이말 하나 남네요
늦었지만
미안해요 미안해요
더 아껴주지 못해서
가난한 내 행복안에
살게 해서 오

두 걸음씩 멀어지나봐
그댄 점점 이별로 앞서가고
추억에 난 돌아가고
이세상엔 길이없나봐
내 품속에 누구도 올수 없게
난 그대에 멈췄나봐
내 눈물을 바람이 또 말려와도
그대 머문 바람인걸
여전히 난 느낄 수 있는데
사랑해요 사랑해요
세상의 말 다 지우니
이말 하나 남네요
늦었지만
미안해요 미안해요
더 아껴주지 못해서
가난한 내 행복안에
살게 해서 우
사랑은 늘 이별에게
빚지고 그이별은 또
다시 사랑으로 되갚는 거죠
그대가 준 추억모두
나 여기 쓰고 갈테니
다음 세상 그대가
채워져요 워"
"10","한 남자","참 오래됐나봐 이 말 조차 무색 할 만큼
니 눈빛만 봐도 널 훤히 다 아는
니 친구처럼 너의 그림자 처럼

늘 함께 했나봐 니가 힘들때나 슬플 때
외로워 할때도 또 이별 앓고서
아파할때도 니 눈물 닦아줄

한 남자가있어 널 너무 사랑한
한 남자가 있어 사랑해 말도 못하는
니 곁에 손 내밀면 꼭 닿을 거리에
자신보다 아끼는 널 가진 내가 있어

너를 웃게 하는 일오직 그것만 생각하고
언제 어디서나 너를 바라보고
널 그리워 하고 니 걱정만 하는

한 남자가있어 널 너무 사랑한
한 남자가 있어 사랑해 말도 못하는
니 곁에 손 내밀면 꼭 닿을 거리에
자신보다 아끼는 널 가진 내가 있어

천번쯤 삼키고 워 또 만번쯤 추스려 보지만
말하고 싶어 미칠것 같은데
널 와락 난 안고 싶은데

한 여자가 있어 이런 날 모르는 
사랑 받으면서 사랑 인줄도 모르는
나만큼 꼭 바보같은 슬픈 널 두고
이 순간도 눈물이 나지만 행복한 걸
니가 곁에 있기 때문이야"
