"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1089","먼지가 되어","22468","김광석","바하의 선율에 젖은 날이면 잊었던 기억들이 피어 나네요 바람에 날려간 나의 노래도 휘파람 소리로 돌아 오네요 내 조그만 공간 속에 추억만 쌓이고 까닭 모를 눈물 만이 아른거리네 작은 가슴은 모두 모두와 시를 써봐도 모자란 당신 먼지가 되어 날아가야지 바람에 날려 당신 곁으로 작은 가슴은 모두 모두와 시를 써봐도 모자란 당신 먼지가 되어 날아가야지 바람에 날려 당신 곁으로 씁 뚜르르 씁 뚜르르 씁 뚜르르 뚜르 씁 뚜르르 씁 뚜르르 씁 뚜르르 뚜르 씁 뚜르르 씁 뚜르르 씁 뚜르르 뚜르 우"
"2","1089","가을이 오면","877","이문세","가을이오면  가을이 오면 눈부신 아침 햇살에 비친 그대의 미소가 아름다워요 눈을 감으면 싱그런 바람 가득한 그대의 맑은 숨결이 향기로와요 길을 걸으면 불러보던 그 옛 노래는 아직도 내 마음을 설레게 하네 하늘을 보면 님의 부드런 고운 미소 가득한 저하늘에 가을이 오면  가을이 오면 호숫가 물결 잔잔한 그대의 슬픈 미소가 아름다워요 눈을 감으면 지나온 날의 그리운 그대의 맑은 사랑이 향기로와요 노래 부르면 떠나온 날의 그 추억이 아직도 내 마음을 슬프게 하네 잊을 수 없는 님의 부드러운 고운 미소 가득한 저 하늘에 가을이 오면"
"3","1089","너에게 난 나에게 넌","61873","자전거 탄 풍경","너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 음 후회없이 그림처럼 남아 주기를 나에게 넌 내 외롭던 지난 시간을 환하게 비춰주던 햇살이 되고 조그맣던 너의 하얀 손위에 빛나는 보석처럼 영원의 약속이 되어 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 음 후회없이 그림처럼 남아 주기를 나에게 넌 초록의 슬픈 노래로 내 작은 가슴속에 이렇게 남아 반짝이던 너의 예쁜 눈망울에 수많은 별이 되어 영원토록 빛나고 싶어 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 음 후회없이 그림처럼 남아 주기를 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 음 후회없이 그림처럼 남아 주기를"
"4","1089","가을은 참 예쁘다","1757","박강수","가을은 참 예쁘다 하루하루가 코스모스 바람을 친구라고 부르네 가을은 참 예쁘다 파란 하늘이 너도나도 하늘에 구름같이 흐르네 조각조각 흰 구름도 나를 반가워 새하얀 미소짓고 그 소식 전해 줄 한가로운 그대 얼굴은 해바라기 나는 가을이 좋다 낙엽 밟으니 사랑하는 사람들 단풍같이 물들어  가을은 참 예쁘다 파란 하늘이 너도나도 하늘에 구름같이 흐르네 조각조각 흰 구름도 나를 반가워 새하얀 미소짓고 그 소식 전해 줄 한가로운 그대 얼굴은 해바라기 나는 가을이 좋다 낙엽 밟으니 사랑하는 사람들 단풍같이 물들어 가을은 참 예쁘다 하루하루가 코스모스 바람을 친구라고 부르네"
"5","1089","잊혀진 계절","9919","이용","지금도 기억하고 있어요 시월의 마지막 밤을 뜻 모를 이야기를 남긴채 우리는 헤어졌지요 그 날의 쓸쓸했던 표정이 그대의 진실인가요 한마디 변명도 못하고 잊혀져야 하는 건가요 언제나 돌아오는 계절은 나에게 꿈을 주지만 이룰수 없는 꿈은 슬퍼요 나를 울려요  그날의 쓸쓸했던 표정이 그대의 진심인가요 한마디 변명도 못하고 잊혀져야 하는건가요 언제나 돌아오는 계절은 나에게 꿈을 주지만 이룰수 없는 꿈은 슬퍼요 나를 울려요"
"6","1089","내가 만일","15264","안치환","내가 만일 하늘이라면 그대 얼굴에 물들고 싶어 붉게 물든 저녁 저 노을처럼 나 그대 뺨에 물들고 싶어 내가 만일 시인이라면 그댈 위해 노래하겠어 엄마 품에 안긴 어린아이처럼 나 행복하게 노래하고 싶어 세상에 그 무엇이라도 그대위해 되고 싶어 오늘처럼 우리 함께 있음이 내겐 얼마나 큰 기쁨인지 사랑하는 나의 사람아 너는 아니 워 이런 나의 마음을 내가 만일 구름이라면 그대위해 비가 되겠어 더운 여름날의 소나기처럼 나 시원하게 내리고 싶어 세상에 그 무엇이라도 그대위해 되고싶어 오늘처럼 우리 함께 있음이 내겐 얼마나 큰 기쁨인지 워 세상에 그 무엇이라도 그대위해 되고싶어 오늘처럼 우리 함께 있음이 내겐 얼마나 큰 기쁨인지 사랑하는 나의 사람아 너는 아니 워 이런 나의 마음을 이런 나의 마음을"
"7","1089","너의 의미 Feat 김창완","201839","아이유","너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속"
"8","1089","널 사랑하겠어","12748","동물원","내 뜨거운 입술이 너의 부드러운 입술에 닿길 원해 내 사랑이 너의 가슴에 전해지도록 아직도 나의 마음을 모르고 있었다면은 이 세상 그 누구보다 널 사랑하겠어 널 사랑하겠어 언제까지나 널 사랑하겠어 지금 이 순간처럼 이 세상 그 누구보다 널 사랑하겠어 어려운 얘기로 너의 호기심을 자극할 수도 있어 그 흔한 유희로 이 밤을 보낼 수도 있어 하지만 나의 마음을 이제는 알아줬으면 해 이 세상 그 누구보다 널 사랑하겠어 널 사랑하겠어 언제까지나 널 사랑하겠어 지금 이 순간처럼 이 세상 그 누구보다 널 사랑하겠어 널 사랑하겠어 언제까지나 널 사랑하겠어 지금 이 순간처럼 이 세상 그 누구보다 널 사랑하겠어 널 사랑하겠어 언제까지나 널 사랑하겠어 지금 이 순간처럼 이 세상 그 누구보다 널 사랑하겠어"
"9","1089","바람이 불어오는 곳","8496","김광석","바람이 불어오는 곳 그 곳으로 가네 그대의 머릿결같은 나무 아래로 덜컹이는 기차에 기대어 너에게 편지를 쓴다 꿈에 보았던 길 그 길에 서있네 설레임과 두려움으로 불안한 행복이지만 우리가 느끼며 바라본 하늘과 사람들 힘겨운 날들도 있지만 새로운 꿈들을 위해 바람이 불어오는 곳 그 곳으로 가네 햇살이 눈부신 곳 그 곳으로 가네 바람에 내 몸 맡기고 그 곳으로 가네 출렁이는 파도에 흔들려도 수평선을 바라보며 햇살이 웃고 있는 곳 그 곳으로 가네 나뭇잎이 손짓하는 곳 그 곳으로 가네 휘파람 불며 걷다가 너를 생각해 너의 목소리가 그리워도 뒤돌아 볼 수는 없지 바람이 불어오는 곳 그 곳으로 가네"
"10","1089","옛사랑","24676","이문세","남들도 모르게 서성이다 울었지 지나온 일들이 가슴에 사무쳐 텅 빈 하늘밑 불빛들 켜져 가면 옛사랑 그 이름 아껴 불러보네 찬바람 불어와 옷깃을 여미우다 후회가 또 화가 난 눈물이 흐르네 누가 물어도 아플 것 같지 않던 지나온 내 모습 모두 거짓인걸 이제 그리운 것은 그리운 대로 내 맘에 둘 꺼야 그대 생각이 나면 생각 난 대로 내버려 두 듯이 흰눈 나리면 들판에 서성이다 옛사랑 생각에 그 길 찾아가지 광화문 거리 흰눈에 덮여가고 하얀 눈 하늘 높이 자꾸 올라가네"
