"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1286","괜찮아도 괜찮아 Thats okay","173607","디오 DO","숱하게 스쳐간 감정들에 무뎌지는 감각 언제부턴가 익숙해져버린 마음을 숨기는 법들 난 어디쯤에 와 있나 앞만 보고 달려오기만 했던 돌아보는 것도 왠지 겁이 나 미뤄둔 얘기들 시간이 가듯 내 안엔 행복했었던 때론 가슴이 저릴 만큼 눈물겨운 날도 매일 같이 뜨고 지는 태양과 저 달처럼 자연스레 보내 때론 울고 때론 웃고 기대하고 아파하지 다시 설레고 무뎌지고 마음이 가는 대로 있는 그대로 수많은 별이 그랬듯이 언제나 같은 자리 제 몫의 빛으로 환하게 비출 테니 숨기지 말고 너를 보여줄래 편히 네 모습 그대로 그래 괜찮아 괜찮아도 오늘 난 처음으로 솔직한 내 마음을 마주해 거울 앞에 서는 것도 머뭇대 이 표정은 또 왜 이리도 어색해 아름다운 건 늘 소중하고 잠시 머물다 아득히 멀어져도 늘 마주 보듯 평범한 일상을 채울 마음의 눈 그 안에 감춰둔 외로움도 잠시 머물 수 있게 해 그저 바라봐 부드러운 바람이 불면 마음을 열어 지나갈 하루야 때론 울고 때론 웃고 기대하고 아파하지 다시 설레고 무뎌지고 마음이 가는 대로 있는 그대로 수많은 별이 그랬듯이 언제나 같은 자리 제 몫의 빛으로 환하게 비출 테니 숨기지 말고 너를 보여줄래 편히 네 모습 그대로 그래 괜찮아 괜찮아도 두 손에 가득 채워질 추억들은 소중한 우리 이야기 진심이 담긴 마음이 시간이 지나 다시 기억할 수 있다면 말할 수 있을까 너도 행복했다고 너와 울고 같이 웃고 기대하고 아파했지 모든 걸 쏟고 사랑하고 마음이 가는 대로 있는 그대로 말하지 못할 고민거리 깊게 상처 난 자리 늘 같은 속도로 흘러가는 시간이 언제나 그랬듯이 씻어내줄 테니 흐르듯 살아도 그냥 괜찮아 괜찮아도"
"2","1286","나의 사춘기에게","233724","볼빨간사춘기","나는 한때 내가 이 세상에 사라지길 바랬어 온 세상이 너무나 캄캄해 매일 밤을 울던 날 차라리 내가 사라지면 마음이 편할까 모두가 날 바라보는 시선이 너무나 두려워 아름답게 아름답던 그 시절을 난 아파서 사랑 받을 수 없었던 내가 너무나 싫어서 엄마는 아빠는 다 나만 바라보는데 내 마음은 그런 게 아닌데 자꾸만 멀어만 가 어떡해 어떡해 어떡해 어떡해 시간이 약이라는 말이 내게 정말 맞더라고 하루가 지나면 지날수록 더 나아지더라고 근데 가끔은 너무 행복하면 또 아파올까 봐 내가 가진 이 행복들을 누군가가 가져갈까 봐 아름다운 아름답던 그 기억이 난 아파서 아픈 만큼 아파해도 사라지지를 않아서 친구들은 사람들은 다 나만 바라보는데 내 모습은 그런 게 아닌데 자꾸만 멀어만 가 그래도 난 어쩌면 내가 이 세상에 밝은 빛이라도 될까 봐 어쩌면 그 모든 아픔을 내딛고서라도 짧게 빛을 내볼까 봐 포기할 수가 없어 하루도 맘 편히 잠들 수가 없던 내가 이렇게라도 일어서 보려고 하면 내가 날 찾아줄까 봐 아아아아아아아 아아아아아아아 아아아아아아아 아아아아아아아 얼마나 얼마나 아팠을까 얼마나 얼마나 아팠을까 얼마나 얼마나 얼마나 바랬을까"
"3","1286","새벽","199","문없는집","밤의 재를 쓸어내리고 아침을 쓸어오고 있다 잠에서 덜 깬 귓바퀴로 흘러들어온 비질 소리 푸른 공기의 한가운데 소리 없이 터져 흐르는 아침의 입김 마신이 없고 하나 둘씩 걷혀 오르는 찰나 오늘을 묻지 말자 오늘을 묻지 말자 묻지 않아도 찾아올 테니 오늘을 묻지 말자 오늘을 묻지 말자 묻지 않아도 찾아올 테니"
"4","1286","그런 날 Feat 김호연 of 달 좋은 밤","46118","크래커 CRACKER","밤하늘 그 아래 모두가 잠든 시간 고요한 도시에 내 마음 숨겼던 날 어른이 된 것 같았던 낮 아이가 돼버리는 밤 지나는 바람도 내리는 소나기도 하나둘 모든 게 너로 다 이어지던 날 길을 걷다가 무심코 또 하늘을 올려보는 날 그날 그 밤 그 달빛 아래서 두 손으로 내가 나를 달래고 다 사라질 거야 모두 지나갈 거야 따스하게 잠든 어느 날처럼 그날 그 밤 그 별빛 아래서 추운 마음까지 다 이불 덮은 날 누구든지 그냥 안아줬으면 해 스쳐가는 그런 날 서랍 속 오래된 편지를 꺼내보다 눌러 쓴 글 속에 내 모습 발견한 날 시간이 멈추면 좋겠다고 생각해 혹시 네 맘도 그렇지 않니 그날 그 밤 그 달빛 아래서 두 손으로 내가 나를 달래고 다 사라질 거야 모두 지나갈거야 따스하게 잠든 어느 날처럼 그날 그 밤 그 별빛 아래서 추운 마음까지 다 이불 덮은 나를 누구든지 그냥 안아줬으면 해 스쳐가는 그런 날 그런 밤 그런 나 또 그런"
"5","1286","I Am Blue","13583","1415","어제 보았던 그곳엔 다시 해는 뜨고 지네 내가 가려고 했던 곳과 나는 점점 멀어져 이렇게 습관처럼 포기를 배우다 보니 이렇게 되었네 그렇게 거울의 얼굴을 보면 왠지 모를 sad smile 사랑도 bye bye bye bye bye Bye Im all alone 나에게만 why why why why And you always make me blue Make me blue 달빛에 비치는 모습도 왜 이리 허전해 보여 무언가를 하고 돌아오는 집 앞은 왜 이리 공허해 이렇게 습관처럼 하루를 보내 어제인지 오늘인지 그렇게 엄마의 얼굴을 보면 왠지 모를 sad smile 사랑도 bye bye bye bye bye Bye Im all alone 나에게만 why why why why And you always make me blue Make me blue 사라져만 가겠지 별 일없던 오늘도 작아져만 가겠지 오늘 미뤘던 꿈처럼 Why why why why Bye bye bye bye Why why why why I dont know why why why why Bye bye bye bye Alone Im alone 점점 멀어져"
"6","1286","민들레 full ver","16738","우효","우리 손 잡을까요 지난날은 다 잊어버리고 나를 사랑한다고 말해주세요 우리 동네에 가요 편한 미소를 지어 주세요 노란 꽃잎처럼 내 맘에 사뿐히 내려앉도록 바람결에 스쳐 갈까 내 마음에 심어질까 무심코 내딛는 걸음에 아파하며 돌아설까 구겨진 잎사귀라도 예쁜 책에 꽂아놓고 너에게 주고만 싶어요 사랑을 말하고 싶어 사랑해요 그대 있는 모습 그대로 너의 모든 눈물 닦아주고 싶어 어서 와요 그대 매일 기다려요 나 웃을게요 많이 그대를 위해 많이 많이 웃을게요 우리 손 잡을까요 널 얼마나 사랑하는데 오늘은 안아줘요 널 얼마나 기다렸는데 이제는 춤을 춰요 왜 왜 자꾸 멀어지려 해 우리 동네에 가요 왜 왜 자꾸 놓아주려 해 놓아주려 해 바람처럼 사라질까 내 마음을 채워줄까 시간마저 쉴 수 있는 나의 집이 되어줄까 빗물이 나를 적시고 눈앞을 흐리게 해도 나는 너를 보고 싶어요 너와 함께 하고 싶어 사랑해요 그대 있는 모습 그대로 너의 모든 시간 함께 하고 싶어 어서 와요 그대 같이 걸어가요 웃게 해줄게요 더 웃게 해줄게요 영원히"
"7","1286","일기","7751","박소은","세상엔 뭐 하나 내 뜻대로 되는 게 없어 내가 사랑한 모든 것들은 날 떠나가고 한껏 차려 입고 집을 나서면 그 날엔 무조건 비가 오지 세상엔 뭐 하나 내 맘대로 되는 게 없어 함께 했던 순간은 절대 영원할 수 없고 혼자 불이 꺼진 방에서 라디오를 켜면 왜 슬픈 노래만 나오는 거야 그저 우울한 어느 날의 일기 나는 이런 사람이야 원래 이런 사람이야 날 혼자 두지 마 아니 그냥 내버려둬 아냐 사실 잘 모르겠어 나도 나를 잘 모르겠어 네가 꿈에 나와 뒤숭숭하게 일어난 날 아무 생각 없이 집을 나서 걷다 보니까 이게 뭐야 죄다 너와 걷던 길이잖아 또 결국 주저앉아 한숨을 뭐 항상 이런걸 어쩌란 말이야 미련한걸 그러니까 다가오지마 난 괜찮으니까 어차피 떠나갈 거 라면 그저 우울한 어느 날의 일기 나는 이런 사람이야 원래 이런 사람이야 날 혼자 두지 마 아니 그냥 내버려둬 아냐 사실 잘 모르겠어 나도 나를 잘 모르겠어 내게 머물러줘 누구라도 좋아 제발 떠나지 말아줘 이젠 못 믿겠어 내게 영원히 머문다는 말 난 나는 우울한 그저 그런 사람 신경질적이고 그저 이상한 사람 날 혼자 두지마 아니 혼자 있는 게 좋아 아니 나를 두고 가지마 제발 나를 혼자 두지마"
"8","1286","내 편이 돼줘","37191","Crush","Last night I thought about you 보고 싶다는 말도 괜찮냐는 그 말도 언제나 익숙한 모습에 미안해 미안해 시간은 너무나 빨라 붙잡을 수 없는 사람과 그 사이 내가 날 위로할 방법을 까먹었나봐 어제와 오늘의 경계에서 난 이 도시 위 우울한 섬 구름이 비가 되는 것처럼 펑펑 울고 싶어 기대서 내 편이 돼줘 내 편이 돼줘 Never leave me alone 눈을 감으면 두려워 내일이 온다는 게 어쩔땐 내일이 없길 바랐었는데 꿈에서 깨어날까봐 전부 다 떠나갈까봐 두려움은 날 가두고 모든 걸 잃는다 해도 너가 내 옆에 없는 것만큼 힘들까 내 편이 돼줘 내 편이 돼줘 Never leave me alone 내 편이 돼줘 내 편이 돼줘 Never leave me alone"
"9","1286","오늘","104743","오왠 OWHEN","새벽4시 잠들지 않아 돌아갈 수 없는 시간들을 생각하곤 해 습관처럼 마음이 아려와 집으로 가는 길은 자꾸만 멀어지는데 저만치 멀어지는 찾을 수 없는 잡을 수 없는 Take it easy 나만 왜 이렇게 힘든 건가요 오늘밤이 왜 오늘의 나를 괴롭히죠 아무것도 한게 없는 하루인데 나는 왜 이렇게 눈치만 보고 있는 건지 아쉬움은 나를 찾아 다가오네 창문 밖은 벌써 따뜻한데 Take it easy 나만 왜 이렇게 힘든 건가요 오늘밤이 왜 오늘의 나를 괴롭히죠 한번만 다시 또 일어설 수 있나요 음음음 오늘도 슬픔에 잠겨 밤을 지우고 있나요 Take it easy 나만 왜 이렇게 힘든 건가요 오늘밤이 왜 오늘의 나를 괴롭히죠 Take it easy 왜 오늘의 나를 괴롭히죠"
"10","1286","쉬어가요","472","톨게이트","숨 쉴틈 없이 흘러가는 하루 만원 지하철에 숨막히는 출근길 반복되는 지루한 일상에 혹시 그대 많이 지쳐 있다면 해야할 일들은 쌓여만 가고 일은 손에 안 잡히고 시계만 쳐다보고 한 시간은 흐른줄 알았는데 30분도 채 지나지 않았다면 잠시만 쉬어가요 아주 잠시라도 그댄 오늘도 고단한 하루를 보냈어요 잠시만 쉬어가요 아무 걱정말고 그대 괜찮아요 나이는 한 두살 더 들어가고 답답한 내일은 날 기다리고 스쳐 지나간 시간의 그리움에 가끔 그대 눈물 흘리곤 한다면 잠시만 쉬어가요 아주 잠시라도 그댄 오늘도 고단한 하루를 보냈어요 잠시만 쉬어가요 아무 걱정말고 그대 괜찮아요 잠시만 쉬어가요 아주 잠시라도 그댄 오늘도 고단한 하루를 보냈어요 잠시만 쉬어가요 아무 걱정말고 그대 괜찮아요 아주 잠시라도 그대 쉬어가요"
