"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1275","Rain","164500","태연 TAEYEON","텅 빈 회색 빛 거린 참 허전해 쓸쓸한 기분에 유리창을 열어 내민 두 손 위로 떨어진 빗방울 가득 고이는 그리움 나의 맘에 흘러 왠지 네가 보고픈 밤 차오르는 눈물 떠오르는 나의 맘 속 비가 오면 내리는 기억에 번지는 아픔에 흠뻑 쏟아지는 너를 보다 선명했던 그 시간에 멈춘 채 추억에 젖은 채 아름다웠던 너를 그려 in the Rain 길었던 참 눈이 부셨던 계절도 사진첩 속에 얼룩져 색이 바래질까 점점 깊어가는 이 밤 잊지 못한 약속 따뜻했던 품도 안녕 비가 오면 내리는 기억에 번지는 아픔에 흠뻑 쏟아지는 너를 보다 선명했던 그 시간에 멈춘 채 추억에 젖은 채 아름다웠던 너를 그려 in the Rain 흑백뿐인 세상 속 한줄기의 빛이 돼준 너 Rain 비가 되어 다가와 내 영혼을 환히 밝혀줘 Doo doo doo doo doo doo doo Doo doo doo doo doo doo doo Doo doo doo doo doo doo doo Doo doo doo doo doo doo doo Doo doo doo doo doo doo doo Doo doo doo doo doo doo doo Woo Woo Woo who who who 우산 아래 나직했던 속삭임 Woo Woo 가슴 한 켠에 퍼져 네가 들려 오늘 하루 내 안부를 묻듯이 편안한 빗소리 아련히 물든 기억 너란 빗속에 Woo Woo rain Woo Dreaming in the Rain"
"2","1275","짝사랑 산들 Solo","46004","B1A4","꽤 오래 된 것만 같아 널 몰래 좋아했던 나 혹시나 들킬까봐 마음 졸이며 말을 할까 말까 혼자 고민을 해 내 맘을 알고 있을까 모른 척하고 있을까 적당히 튕기다가 못 이기는 척 내 맘 받아 줘 그럼 안될까 내 사랑아 내 사랑아 이젠 내게 맘을 열어 줘 부탁해 기다림에 지쳐 버려서 힘들어 주저앉지 않게 내 손 잡아 줘 사람들과 떠들어도 온종일 니 생각뿐야 어떻게 해야 내 마음을 전할까 오직 한 사람 너뿐인데 내 사랑아 내 사랑아 이젠 내게 맘을 열어 줘 부탁해 기다림에 지쳐 버려서 힘들어 주저앉지 않게 내 손 잡아 줘 너무 사랑하니까 너무 좋아하니까 외면하지 말아 줘 이젠 내 맘 받아 줘 행복하게 해 줄게 영원히 함께 하고 싶어 내게 와주면 안되니 내 사랑아 내 사랑아 이젠 내게 맘을 열어 줘 부탁해 내 목숨보다 소중한 사람 사랑해 이 세상 끝까지 함께 해줄래"
"3","1275","헤어지자 Prod 정키","101169","휘인 Whee In","그럴 수도 있지 생각했어 잊어 보려 했어 지난 날의 모든 걸 노력했어 다시 시작해 보려고 했어 내겐 너 아니면 안 되는 걸 아니까 정말 그랬어 쉽게 잊혀지진 않았어 누구도 그랬을 거야 아무렇지 않진 않아도 이렇게까지 힘이 드는 건 널 처음 만나 설레었던 기억들이 꼭 어제처럼 선명해서 지워지질 않아 내가 알던 네 모습도 이젠 거짓말 같아서 믿을 수 없는 걸 헤어지자 어떻게 네가 그럴 수 있어 마치 내게 했던 말이 무색해지게 다 끝인 거야 쉽게 꺼낸 말은 아니야 누구도 그랬을 거야 아무렇지 않진 않아도 이렇게까지 힘이 드는 건 널 처음 만나 설레었던 기억들이 꼭 어제처럼 선명해서 지워지질 않아 내가 알던 네 모습도 이젠 거짓말 같아서 믿을 수 없는 걸 다 없었던 기억처럼 널 지울 수 있게 아무 말도 하지 말아 줘 왜 바보처럼 네가 했던 그 모든 말들을 난 믿었는데 어떻게 다 잊으라는 건지 내가 알던 네 모습도 이젠 거짓말 같아서 처음 만나 함께한 모든 게 헤어지자 이제 우리"
"4","1275","면역력","18445","하성운","오늘따라 유난히 목소리 잠겨 내 맘 밤새 건조했던 탓일까 매일같이 신경 써 조심을 해도 또 이렇게 바보처럼 늘 매번 걸려 너만 보면 늘 약해지는 내 모습 다 아는 걸까 왜 자꾸 또 나를 찾아와 내겐 도무지 없는 그 능력 너를 이겨내는 힘이 난 없는 것 같아 말도 없이 나타나 몇 번을 피하려 해도 달라진 게 없어 시간이 가면 갈수록 오히려 더 난 오히려 더 약해지는가 봐 사람들이 알려준 방법 다 해봐도 음 또 이렇게 바보처럼 늘 매번 걸려 너만 없으면 강해지는 내 모습이 싫은 걸까 괜찮을만하면 찾아와 내겐 도무지 없는 그 능력 너를 이겨내는 힘이 난 없는 것 같아 말도 없이 나타나 몇 번을 피하려 해도 달라진 게 없어 시간이 가면 갈수록 오히려 더 난 오히려 더 언제쯤이면 너를 보게 되도 흔들리지 않을 수 있는 힘이 그런 날이 올까요 이런 통증 계속되면 익숙해지는 그날이 가질 수 없는 그 능력 너를 지워내는 일이 난 힘든 것 같아 왜 자꾸만 나타나 너를 막아보려 해도 달라진 게 없어 시간이 가면 갈수록 오히려 더 예전보다 더 약해진 것 같아 가질 수 없나 봐"
"5","1275","밤편지","384329","아이유","이 밤 그날의 반딧불을 당신의 창 가까이 보낼게요 음 사랑한다는 말이에요 나 우리의 첫 입맞춤을 떠올려 그럼 언제든 눈을 감고 음 가장 먼 곳으로 가요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 늘 그리워 그리워 여기 내 마음속에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말이에요 어떻게 나에게 그대란 행운이 온 걸까 지금 우리 함께 있다면 아 얼마나 좋을까요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 또 그리워 더 그리워 나의 일기장 안에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말 이 밤 그날의 반딧불을 당신의 창 가까이 띄울게요 음 좋은 꿈 이길 바라요"
"6","1275","바래다줄게 Take You Home","111035","백현 BAEKHYUN","알아 아무렇지도 않은 척해 봐도 기다린단 걸 애써 웃어 보는 눈가에 묻은 슬픔 내가 어쩔 수 없단 걸 느낄 수 있어 괜찮아 미안하단 말 곁에 있는 것만으로 충분해 하지 마 아냐 됐다 그냥 네 맘 편하면 들어줄게 네 남자 아니지만 조금만 지켜봐 줘 I need you girl 너의 그 사람 아니지만 너를 안아줄 순 없어도 널 집에 데려갈 넓은 등을 가진 그런 남자야 바래다줄게 내게 기대 아무렇지도 않은 척해 봐도 기다린단 걸 애써 미소 짓는 입가에 묻은 슬픔 네가 어쩔 수 없단 걸 느낄 수 있어 괜찮아 미안하단 말 곁에 있는 것만으로 충분해 하지 마 아냐 됐다 그냥 네 맘 편하면 들어줄게 네 남자 아니지만 조금만 지켜봐 줘 I need you girl 너의 그 사람 아니지만 너를 안아줄 순 없어도 널 집에 데려갈 넓은 등을 가진 그런 남자야 바래다줄게 내게 기대 이 말도 안 되는 어설픈 위로만으로 힘이 되었단 걸 그때의 난 널 웃게 할 수 있단 걸 그 앤 왜 모르는지 내 모습 그대로를 조금만 지켜봐 줘 I love you girl 너의 그 사람 아니지만 지금 안아볼 순 없대도 네 곁을 지켜줄 넓은 맘을 가진 그런 남자야 바래다줄게 내게 기대"
"7","1275","다른사람을 사랑하고 있어","77685","수지 SUZY","네가 상처받지 않게 어떻게 말을 꺼낼까 예쁜 말 적당한 핑계로 널 보내고 난 떠나려 했어 일어선 나를 붙잡고 엉엉 울며 매달리기 전 까지 말야 다른 사람을 사랑하고 있어 다 말하고 싶지 않았어 넌 좋은 사람이니까 허물어지는 모래성을 붙잡고 더 애를 쓰려 하지 마 너 아닌 다른 사람을 사랑하고 있어 바란 것도 하나 없이 넌 항상 모든 걸 줬어 행복한 내가 너의 행복이라며 넌 언제나 나만 바라봤어 그런데 너의 사랑이 점점 지쳐 변명 하지 않고 다 말할게 다른 사람을 사랑하고 있어 다 말하고 싶지 않았어 넌 좋은 사람이니까 허물어지는 모래성을 붙잡고 더 애를 쓰려 하지 마 너 아닌 다른 사람을 걱정하다가도 까맣게 널 잊을 만큼 진심으로 사랑하고 있어 아름다웠던 사랑의 끝에서 다 말하고 싶지 않았어 네가 아플까 봐 허물어지는 모래성을 붙잡고 더 애를 쓰려 하지 마 너 아닌 다른 사람을 사랑하고 있어"
"8","1275","광화문에서 At Gwanghwamun","203510","규현 KYUHYUN","넌 어땠는지 아직 여름이 남아 왠지 난 조금 지쳤던 하루 광화문 가로수 은행잎 물들 때 그제야 고갤 들었었나 봐 눈이 부시게 반짝이던 우리 둘은 이미 남이 되었잖아 네 품 안에서 세상이 내 것이었던 철없던 시절은 안녕 오늘 바보처럼 그 자리에 서 있는 거야 비가 내리면 흠뻑 젖으며 오지 않는 너를 기다려 나는 행복했어 그 손 잡고 걷던 기억에 또 뒤돌아 봐 네가 서 있을까 봐 난 모르겠어 세상 살아가는 게 늘 다른 누굴 찾는 일 인지 커피 향 가득한 이 길 찾아오며 그제야 조금 웃었던 나야 처음이었어 그토록 날 떨리게 한 사람은 너 뿐이잖아 누구보다 더 사랑스럽던 네가 왜 내게서 떠나갔는지 오늘 바보처럼 그 자리에 서 있는 거야 비가 내리면 흠뻑 젖으며 오지 않는 너를 기다려 나는 행복했어 그 손 잡고 걷던 기억에 또 뒤돌아 봐 네가 서 있을까 봐 그 자리에서 매일 알아가 조금씩 변해가는 내 모습은 먼 훗날엔 그저 웃어줘 난 행복해 오늘 여긴 그 때처럼 아름다우니 괜히 바보처럼 이 자리에 서 있는 거야 비가 내리면 흠뻑 젖으며 오지 않는 너를 기다려 나는 행복했어 광화문 이 길을 다시 한번 뒤돌아 봐 네가 서 있을까 봐"
"9","1275","Wait","78592","EXO","넌 지금 무슨 생각해 나는 너를 생각해 내 세상은 온통 너로 가득해 기억나 이맘때 설레던 너와 나 babe 유난히도 반짝이던 하얀 계절이 저 닫힌 창을 넘어 불어와 하루 종일 널 그리며 똑같은 자릴 기다리는 내 맘을 알까 눈이 올 것 같은데 밖을 봐 어느새 너무 늦으면 안 돼 약속해 우리가 만나는 길이 엇갈리지 않게 Now all I do All I do All I do is wait 추윌 많이 타는 너 감긴 익숙하단 너 이 겨울이 네겐 다정했음 좋겠어 있잖아 그게 내 소원 중 하나야 babe 오늘따라 왜 이렇게 보고 싶은지 널 조심스레 꺼내보다가 견딜 만해 사진 속 그리운 얼굴이 나를 보며 웃어주니까 눈이 올 것 같은데 밖을 봐 어느새 너무 늦으면 안 돼 약속해 우리가 만나는 길이 엇갈리지 않게 Now all I do All I do All I do is wait Im waiting for you Wait Im waiting for you Wait Im waiting for you You 눈이 올 것 같은데 너무 늦으면 안 돼 약속해 우리가 만나는 길이 엇갈리지 않게 Now all I do All I do All I do Oh All I do All I do All I do All I do All I do is wait"
"10","1275","소나기","168706","아이오아이 IOI","이 비가 머리 위로 쏟아지면 흠뻑 젖고 말겠죠 내 마음도 머물러줘요 아직까진 그대 없이 나 혼자 이 비를 맞기엔 아직 어리고 조금 무서워 금방 그칠 거란걸 뻔히 다 알면서도 그댈 찾네요 이제 그만 다 그칠까 이 빗물도 내 눈물도 비에 젖어 추위에 떨고 싶진 않아요 정말 언젠간 너무 차디찼던 빗물이 따뜻한 눈물이 되어 흘러내리겠죠 괜찮아요 금방 지나갈 소나기죠 그냥 스쳐 지나가는 소나기죠 그런 감정이죠 나 정말 그대를 만나 행복했던 많은 추억들을 빗물에 잃지 않아요 내리는 비가 그칠 때쯤에 그때 다시 만나요 우리 다시 웃으며 함께 있을게요 이제 그만 다 그칠까 이 빗물도 내 눈물도 비에 젖어 추위에 떨고 싶진 않아요 정말 언젠간 너무 차디찼던 빗물이 따뜻한 눈물이 되어 흘러내리겠죠 괜찮아요 금방 지나갈 소나기죠 지금은 흠뻑 젖어가고만 있죠 우산을 필 힘조차 없네요 하지만 우린 알아요 잠시만 울게요 빗물에 기대어 우리의 슬픈 눈물을 그대가 보지 못하게 우리 이제 안녕 이제 그만 다 그칠까 이 빗물도 내 눈물도 비에 젖어 추위에 떨고 싶진 않아요 정말 언젠간 너무 차디찼던 빗물이 따뜻한 눈물이 되어 흘러내리겠죠 괜찮아요 금방 지나갈 소나기죠"
