"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1213","About Romance Feat Mc Sniper MC Bk and Illinit","754","Anan Ryoko","MC Sniper 달빛이 드는 창가 헤진 다락방에 홀로 앉아 때가 지난 LP판 유행가사 되네인다 옛사랑을 노래하는 자취방 3류 작가 시인마냥 글을 적다 나를 떠난 님 그리다 홀짝대는 술한잔 야속한 세월따라 도난당한 낭만이여 그대는 늙지도 않던가 실없던 농담에도 미소짓던 시간 그래 단 한번만 그때처럼 설레이고 싶구나  Illinit When I was blind I used to see the light Now my eyes are open wide but Im stuck in the night Im somewhere in the night I need you back back Somewhere in the night I need you back back When I was blind I used to see the light Now my eyes are open wide but Im stuck in the night Im somewhere in the night I need you back back Somewhere in the night I need you back back  MC BK 비가 내리면 음악이 흘러 크게 따라 부르던 노랠타고 술잔을 기울여 왠지 모를 마음속 공허함 빗소리로 채워 그것만으로도 행복했던 잃어버린 추억 아 그땐 많이 순수했던 표정 전부라 믿었지만 멀어져버린 감정 시간이 간다는건 메말라 가는걸까 잊어버린채 잃어버린 내 낭만에 대해  MC Sniper 여자라면 그 누구나 꽃잎처럼 자라 억센 아줌마란 꼬리표를 달고 현실을 살아가 어머니의 낭만이란 마치 커다란 사치인양 변덕심한 어린 아이 달래듯 그냥 넘어가 늙어가는 외로움 짙은 어둠이 드리운 저 부엌만큼 좁은 창문 넘어 내리는 첫눈 흰눈보며 가슴뛰는 꽃다운 마음이야 있다만 그것조차 사치인듯 억누르고 있구나  Illinit When I was blind I used to see the light Now my eyes are open wide but Im stuck in the night Im somewhere in the night I need you back back Somewhere in the night I need you back back When I was blind I used to see the light Now my eyes are open wide but Im stuck in the night Im somewhere in the night I need you back back Somewhere in the night I need you back back   bridge   MC BK 인연이란 떠나보내기 위한 것일까 여유없는 분주함에 밀려 당연한 걸까 난 시간에 쫓기는 멈춰버린 시계 비출 곳을 잃어버린 어두워진 등대 우수에 찬 봄비가 내맘 창문을 두드려 서늘한 시간의 바람에 더욱 더 몸을 움추려 점점 사라져 가겠지 지금 그리운 고민도 깨져버린 향수로 변하겠지  Illinit When I was blind I used to see the light Now my eyes are open wide but Im stuck in the night Im somewhere in the night I need you back back Somewhere in the night I need you back back When I was blind I used to see the light Now my eyes are open wide but Im stuck in the night Im somewhere in the night I need you back back Somewhere in the night I need you back back  MC Sniper 그래 향수로 변하겠지 풍성해진 나무가지 만개한 꽃잎 봉오리조차 향길 잃어 가겠지 낙엽이 지던 거리 숱한 추억이 담긴 편지 모두 여름날의 소나기처럼 스치는 낭만이겠지 처방전없는 마음의 감기 달래주는 선술집 술에 취해 기억을 저어 그대를 되돌아보니 그 어째서 엄동설한의 흰 서리는 어머니의 아름다운 검은 머리 위에만 내려 앉는지  About Romance Yeah 낭만에 대하여 MC Sniper MC BK Illinit Sniper Sound"
"2","1213","나만 이런거야","21457","블락비 Block B","나만 이런거야 원래 그런거야 나 혼자 꼼짝 못하고 이래 너 정말 이럴거야 나만 이런거야 내 맘만 이런거야 나 혼자 꼼짝 못하고 이래 너 정말 그럴거야 나라고 별반 다를것 없었어 이 상황까지의 과정이 어떻던 허탈함이 먼저 머리챌 잡고 날 탓해 얼룩진 기억 눈물과 함께 닦아내 혼자있기가 머쓱해져 오늘을 살지만 내 속안은 예전 사진속 너가 유일한 말동무 냉장고 절반은 맥주캔에게 내줘 집안 내 방안 곳곳에 니 흔적이 허전함을 보태 뻔한 이별에 태연하지못해서 너란 병실에서 퇴원하지 못했어 너도 이런 현상을 수시로 겪나 문득 궁금해 나만이런걸까 알 방법이없나 또 문자를 썼다가 지웠다 낯설기만 해 텅빈 내 가슴 한 켠이 너무지쳐 울기보단 웃어 잊을래 지울래 너의 자리 하루에 열번씩은 다짐해 나만 이래 이별 뒤 내겐 고작 상실감 사라져버린 내 삶의 나침판 혼자서만 이런가싶어 되새기고 새긴 말 Ill be fine 근데 쉽지 않아 뜻대로 잊긴 커녕 시간만 낭비하는 느낌인걸 오히려 널 잡는게 빠르다는 생각밖에 안 들어 나 조차 이런내가 안쓰러 가끔씩은 너가 밉고 원망스러 뒤죽박죽된 머리속 중심엔 너가 있는데 What about you 추억이 깃든 것들 다 버려도 넌 일상 곳곳에 스며있었어 이 상황에서 도망가고싶은데 뛰고 있는건 발이 아닌 심장이였어 낯설기만 해 텅빈 내 가슴 한켠이 너무 지쳐 울기보단 웃어 잊을래 지울래 너의 자리 하루에 열번씩은 다짐해 나만이래 나만 못 잊는거야 왜 맘 졸이는거야 내가 이지경인데 너가 멀쩡하면 네 자신을 속이는거야 나만 못 잊는거야 왜 맘 졸이는거야 내가 이지경인데 너가 멀쩡하면 네 자신을 속이는거야 낯설기만 해 텅빈 내 가슴 한 켠이 너무 지쳐 울기보단 웃어 잊을래 지울래 너의 자리 하루에 열번씩은 다짐해 나만 이래 나만 이런거야 원래 그런거야 나 혼자 꼼짝 못 하고 이래 너 정말 이럴거야 나만 이런거야 내 맘만 이런거야 나 혼자 꼼짝 못 하고 이래 너 정말 그럴거야"
"3","1213","허해 Feat 영준 of Brown Eyed Soul","3613","개리","허허해 허허해 허허허 예 이렇게 비가 오는 날에는 더 더 더 허허해 허허해 허허허 예 이렇게 네가 없는 날에는 더 더 더 오래간만에 날씨 good 미세 먼지는 걷히고 하늘이 꼭 미국 LA 같아 몇 번 안 가봤지만 대충 생각나 구름 없는 파란 하늘의 색깔과 한적한 거리는 지금 붐비는 가로수 길과는 좀 달라 짧은 치마와 스키니 진의 설레는 만남들 짝을 찾는 이들은 서로를 뽐내느라 환장을 하고 화장을 안 해도 빛이 나는 여자의 웃음처럼 기분 좋은 화창한 날 모든걸 멈추고픈 시간 여기저기 들려오는 아쉬운 솔로들의 한탄 일하기 싫은 이들은 다시 꺼내보는 꿈에 대한 갈망 이게 진정 내가 원하는 삶일까 용기 내 모든걸 다시 시작해 볼까 만감이 교차하는 이순간 대체 뭘 해야 재밌을까 사는 게 빠르게 흘러가 매 순간 놓치고 싶지 않은데 일일 연속극처럼 그게 그거 같애 그네 같이 묶여 있는 기분 이런 날 좋은 날엔 더해 맘이 허해 허허해 허허해 허허허 예 이렇게 비가 오는 날에는 더 더 더 허허해 허허해 허허허 예 이렇게 네가 없는 날에는 더 더 더 창 밖엔 추적추적 비가 내리고 내 정신 상태는 정전 별일 없지만 그렇다고 또 땡기는 것도 없어 그냥 볼펜 똥처럼 좀 귀찮아졌을 뿐 근데 가끔 이런 날도 필요한 것 같아 균형의 맞춤 습관처럼 보는 휴대폰 속 세상 다들 잘들 사는 것 같아 이제 서로의 안부는 만남 대신 사진 한 장과 짧은 댓글 좋아요 버튼 툭 누르면 끝 한참을 바라보며 웃다 보면 몰라 시간이 가는 줄 어둠이 오면 잠시 또 시달려 아직 해독 안된 사랑의 상처 언제나 함께 했던 이런 날 함께 소파에 누워 껴안고 영화를 보던 너 모든 게 그리워지네 허허해 허허해 허허허 예 이렇게 비가 오는 날에는 더 더 더 허허해 허허해 허허허 예 이렇게 네가 없는 날에는 더 더 더 허허해 허허해 이렇게 네가 없는 날에는 더"
"4","1213","넌 어디에","53764","블락비 Block B","또 그대를 울리네요 그대의 예쁜 눈에서 눈물이 흘러 내리네요 또 우리가 헤어져요 그대의 예쁜 얼굴이 조금씩 멀어져 가네요 난 잘된 일이라고 지겨운 사랑이 이젠 끝이라고 다신 널 생각 안 할거라고 다짐을 해놓고 왜 오늘도 네 사진을 보는지 그대의 표정도 예쁜 미소도 가끔 나를 웃게 만들었던 그대의 실수도 그대 목소리도 내겐 너무나 생생한데 그대의 투정도 나쁜 습관도 가끔 나를 울게 만들었던 그 못된 말투도 지나간 실수도 이젠 이해할 수 있는데 넌 어디에 난 괜찮을 거라고 다시는 사랑 따윈 안 할거라고 너 없이도 잘 살 수 있다고 다짐을 해놓고 왜 오늘도 너의 생각뿐인지 그대의 표정도 예쁜 미소도 가끔 나를 웃게 만들었던 그대의 실수도 그대 목소리도 내겐 너무나 생생한데 그대의 투정도 나쁜 습관도 가끔 나를 울게 만들었던 그 못된 말투도 지나간 실수도 이젠 이해할 수 있는데 넌 어디에 왜 널 나에게 맞추려고 했었는지 너를 있는 모습 그대로 바라볼 수는 없었는지 나의 이기심들에 아파하던 너를 왜 몰랐을까 그대의 눈물도 깊은 한숨도 나를 놓아주기 시작했던 그때의 내게로 갈수만 있다면 다신 놓치지 않을 텐데 그대의 투정도 나쁜 습관도 가끔 나를 울게 만들었던 그 못된 말투도 지나간 실수도 이젠 이해할 수 있는데 넌 어디에 돌아와"
"5","1213","가끔","91247","Crush","오늘밤은 유난히 추워 가만히 밤 하늘을 또 다시 보고 있어 벌써 1년이 지나 아련하게 다가와 추억 널 집에 데려다 줬던 그 기억들이 다 너무 소중해 언젠가 널 내 옆에 두고 그땐 그랬었지 라며 추억들을 나눌 거라고 생각했었지 넌 나와 같을까 되뇌어보지만 감이 오질 않아 그냥 가끔 그리울 뿐인데 너와 입을 맞추고 널 감싸 안았던 아주 가끔 보고플 뿐인데 오늘은 왜 이렇게 눈물이 나는지 오랜만에 열어본 서랍 속엔 환하게 웃고 있는 네 사진들 버리게 되면 영영 널 잊게 될까 봐 두려워져 언젠가 널 내 옆에 두고 그땐 그랬었지 라며 추억들을 나눌 거라고 생각했었지 넌 나와 같을까 나만 아는 걸까 이미 넌 무감각해졌으니까 그냥 가끔 그리울 뿐인데 너와 입을 맞추고 널 감싸 안았던 아주 가끔 보고플 뿐인데 오늘은 왜 이렇게 눈물이 나는지 I miss you I miss you baby I miss you I miss you baby baby 있을 때 잘할걸 후회 하면서도 돌이킬 자신이 없는걸 이렇게 나만 바보처럼 내 맘 가두고서 살아 그냥 가끔 그리울 뿐인데 너와 입을 맞추고 널 감싸 안았던 아주 가끔 보고플 뿐인데 오늘은 왜 이렇게 눈물이 나는지 I miss you baby I miss you baby I miss you I miss you"
"6","1213","그녀가 말했다 With 권진아","48644","토이","새 옷을 사고 종일 tv를 켜놔도 자꾸만 멍하니 전화만 보네요 친굴 만나고 애써 아닌 척 밝게 웃어도 점점 난 약해져 가요 너무 잘라 우스워진 머릴 보며 다 터 버린 입술 보며 그댈 생각해 나 그댈 미워해 나 그댈 좋아해 내가 없는 하루 아무렇지도 않나요 나는요 나는요 그댈 좋아해요 왜 그댄 나와 같은 맘 아닌가요 나 없이 나 없이 잘 지내지 말아요 행복하게 지내란 그 말 난 싫어요 마지막 표정 우리 함께 한 긴 날들보다 많은 걸 얘기했어요 라디오에서 흐르는 노래 속에 늘 함께 걷던 거리에 그대가 들려 나 그대가 보여 나 그댈 기다려 이런 날 아나요 그댄 내 생각하나요 나는요 나는요 그댈 좋아해요 왜 그댄 나와 같은 맘 아닌가요 나 없이 나 없이 잘 지내지 말아요 행복하게 지내란 그 말 싫어 다시는 다시는 못 볼 것만 같아 꼭 마지막 인사 같아 잘 지내지 마요"
"7","1213","IF YOU","163141","BIGBANG","그녀가 떠나가요 나는 아무것도 할 수 없어요 사랑이 떠나가요 나는 바보처럼 멍하니 서 있네요 멀어지는 그 뒷모습만을 바라보다 작은 점이 되어 사라진다 시간이 지나면 또 무뎌질까 옛 생각이 나 니 생각이 나 IF YOU IF YOU 아직 너무 늦지 않았다면 우리 다시 돌아갈 수는 없을까 IF YOU IF YOU 너도 나와 같이 힘들다면 우리 조금 쉽게 갈 수는 없을까 있을 때 잘할 걸 그랬어 그대는 어떤가요 정말 아무렇지 않은 건가요 이별이 지나봐요 그댈 잊어야 하지만 쉽지가 않네요 멀어지는 그 뒷모습만을 바라보다 작은 점이 되어 사라진다 누군갈 만나면 위로가 될까 옛 생각이 나 니 생각이 나 IF YOU IF YOU 아직 너무 늦지 않았다면 우리 다시 돌아갈 수는 없을까 IF YOU IF YOU 너도 나와 같이 힘들다면 우리 조금 쉽게 갈 수는 없을까 있을 때 잘할 걸 그랬어 오늘같이 가녀린 비가 내리는 날이면 너의 그림자가 떠오르고 서랍 속에 몰래 넣어둔 우리의 추억을 다시 꺼내 홀로 회상하고 헤어짐이란 슬픔의 무게를 난 왜 몰랐을까 IF YOU IF YOU IF YOU IF YOU 아직 너무 늦지 않았다면 우리 다시 돌아갈 수는 없을까 IF YOU IF YOU IF YOU IF YOU 너도 나와 같이 힘들다면 우리 조금 쉽게 갈 수는 없을까 있을 때 잘할 걸 그랬어"
"8","1213","니가 없네 Feat Junggigo","8127","Dok2","니가 보고 싶어 만지고 싶어 느끼고 싶어 니가 보고 싶어 만지고 싶어 느끼고 싶어 니가 보고 싶어 만지고 싶어 느끼고 싶어 니가 보고 싶어 만지고 싶어 느끼고 싶어 니가 아닌 사람에게 보고 싶단 문자를 보내 허전한 반 쪽짜리 만족 느끼는 나를 보네 니가 좋아하던 노랠 종일 돌려 듣곤 해 슬퍼도 널 느낄 수 있는 유일한 길이라서 아무렇지 않은 듯 지내 보려고 노력해 혼자면 밀려오는 그리움은 어쩔 수 없네 니 표정 니 말투 난 모든 걸 기억해 니 생각이 날까 쉽게 딴 여잔 만나지 못해 이상형이 뭐냐고 가끔 누가 물어보네 근데 내 머릿 속을 스치는 건 니 모습 뿐 다시 너와 행복한 순간을 상상하곤 해 마치 이미 이뤄진 일인 듯 나는 그곳에 혼자 있다 보면 니가 벌써 돌아온 듯해 가슴이 뛰지만 도착해 보면 니가 없네 아이폰을 열었다 껐다 하루 종일 반복해 문자를 썼다 지웠다 쉽게 보내진 못해 내가 없는 곳에서 넌 뭘 하고 있을까 지금의 넌 내가 보고 싶을까 내가 없는 동안 넌 날 잊을까 당장이라도 널 볼 것 같은데 요즘 하는 일이 다 잘 돼 돈도 많이 벌었는데 어릴 때 못 사주던 것들 다 사 줄 수 있는데 내가 갖고 싶다던 거 모두 다 가졌는데 옆에 늘 있을 것 같았었던 니가 없네 어느 누구 부럽지 않은 좋은 차들도 뽑았어 너와 함께 하고 싶은 집으로 이사도 왔어 니가 이쁘다고 할 만한 옷과 신발도 샀어 근데 널 만나러 갈 수 없다는 게 슬프지만 이젠 받아들여야 할 듯해 Its tIme to say goodbye 아직 할 말이 많은데 가까운 듯해 이젠 다 온 듯해 아직은 떨어지지 않아 쉽게 나의 발 끝에 남아 있는 것들이 너무 많아 니가 없는 침대에 홀로 남아 이 또한 지나면 추억이겠지 아마 가슴이 쓰리지만 질끈 눈을 감아 내가 없는 곳에서 넌 뭘 하고 있을까 지금의 넌 내가 보고 싶을까 내가 없는 동안 넌 날 잊을까 당장이라도 널 볼 것 같은데 니 가 떠 난 후 이 제 서 야 i think i know why 그 땐 몰 랐 던 니 말 들 도 now think i know why 니 가 떠 난 후 이 제 서 야 i think i know why 그 땐 몰 랐 던 니 말 들 도 now think i know why"
"9","1213","U  I With Crush  빈지노","60569","토이","you know 너 땜에 자꾸 난 전화길 못 놔 니가 올린 음식 사진도 네 친구들 댓글에 내 마음 두근 대 내가 생각해도 내가 웃겨 너의 하루가 다 궁금해 난 네가 정말 좋은가 봐 you know 니 SNS 업데이트될 때 내 입가엔 oh no 제일 먼저 내가 좋아요 누르곤 해 뭐 하는 건지 참 내가 생각해도 내가 웃겨 너의 모든 게 다 궁금해 난 네가 정말 좋은가 봐 잠이 오질 않아 니가 숨 쉬는 방은 어떤 모습일까 무슨 꿈 꿀까 나처럼 너도 내 생각하고 있는 건 아닐까 혹시 아닐까 너를 안아 줄래 네게 입 맞출래 내 품에 담을래 you and me 수많은 사람 살아가는 이 세상 속에서 that just you 너를 만난 건 믿지 못할 놀라운 기적 love you 영원히 함께 U and I Things I wanna do with you list 첫 번째는 아무 이유 없이 너에게 전화를 거는 거 두 번째도 아무 이유 없이 너의 이름 대신 특별한 별명을 붙여 부르고 싶어 세 번짼 i wanna cook you 김치볶음밥 and go party with you up all night 그리고 한강을 따라 걸으며 노을이 묻은 하늘을 보면서 넋을 놓고파 그리고 난 말하고 싶어 내 눈에는 너가 더 예뻐 니가 보고 싶어 오늘 밤 지금 너는 뭘 입고 있을까 잠들었을까 나처럼 너도 썼다 지웠다 고민해 봤을까 망설였을까 너를 안아줄래 네게 입 맞출래 내 품에 담을래 you and me 수많은 사람 살아가는 이 세상 속에서 that just you 너를 만난 건 믿지 못할 놀라운 기적 you and me 불안한 내일 날 지켜준 단 한 사람 바로 that just you 그게 너란 게 벅찰 만큼 love you forever I love you 영원히 함께 U and I U and I"
"10","1213","입장정리 Feat 최자 Simon D","30000","프라이머리","너 와 난 보기도 참 오래 봤지 우린 좋은 친구야 매일같이 붙어 다녔지 넌 거의 식구야 내 비밀까지 믿고 말 할 수 있는 넌 특별하고 소중한 내 친구야 그래 친구라 서로 기대고 때로는 취해 치대고 서로의 기대에 못 미쳐 어어 가끔 삐대고 그렇게 넌 내 모든걸 다 알았지 하나만 빼고 그동안 나 꾹 참았지 참고 참았지 나 말하려다 말았지 널 생각하는 내 마음은 우정과는 달랐지 하지만 혹시나 우리 사이 멀어질까봐 착각이라고 날 속이면서 살았지 애닳고 닳았지 내 맘은 겉은 웃지만 힘이 들어 내 안은 날 똑바로 봐 나 이제 네게 그 얘기를 하고 싶어 니 주변에서 중심으로 가고 싶어 lovin u 이제는 말 하고 싶은데 because of u 나는 여태 혼자 있는데 아마 겁이 나나봐 니가 떠나갈까봐 난 곁에서 곁에서 맴돌고만 있어 사실 질투가 났었어 다른 남자와의 연애상담 해줄 때 잘 안되길 바랬어 때론 밤잠도 설쳤어 나도 연인처럼 낮이 아닌 너의 밤을 갖기를 바랬어 너와 걸을 땐 니 손을 잡고 싶었어 너와 얘기할 땐 니 입술에 닿고 싶었어 너 바보처럼 웃을 땐 너무 이뻐서 부서지도록 널 세게 안고 싶었어 참고 참았지 나 말하려다 말았지 널 생각하는 내 마음은 우정과는 달랐지 하지만 혹시나 우리 사이 멀어질까봐 착각이라고 날 속이면서 살았지 오늘은 말할래 내 맘을 겉은 웃지만 많이 떨려 내 안은 날 똑바로 봐 나 이제 네게 그 얘기를 하고 싶어 니 주변에서 중심으로 가고 싶어 lovin u 이제는 말 하고 싶은데 because of u 나는 여태 혼자 있는데 아마 겁이 나나봐 니가 떠나갈까봐 난 곁에서 곁에서 맴돌고만 있어 우정보단 먼 사랑에 더 가까운 사이를 말하는 거야 시간이 너무 아까워 나이는 계속 먹어가고 있잖아 죽기 전까지 즐겁게 살 거 같지 않아 이렇게 너에게 떼쓰는 나를 봐 우리 계속 붙어있으니 자꾸만 딴 맘을 먹게 돼 장난도 안 치게 되고 혼자 걷게 되는 날은 빨리 지치게 돼 나 어떡해 lovin u 이제는 말 하고 싶은데 because of u 나는 여태 혼자 있는데 아마 겁이 나나봐 니가 떠나갈까봐 난 곁에서 곁에서 맴돌고만 있어 lovin u 이제는 말 하고 싶은데 because of u 나는 여태 혼자 있는데 아마 겁이 나나봐 니가 떠나갈까봐 난 곁에서 곁에서 맴돌고만 있어 천천히 생각해도 돼 대신 좋은 쪽으로만 근데 아니다 싶음 빨리 말해줘 혹시나 안되도 넌 still a friend of mine 입장정리 할 때야 솔직히 말해줘 천천히 생각해도 돼 대신 좋은 쪽으로만 근데 아니다 싶음 빨리 말해줘 혹시나 안되도 넌 still a friend of mine 입장정리 할 때야 솔직히 말해줘"
