"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"1","1122","Going Home","36987","김윤아","집으로 돌아가는 길에 지는 햇살에 마음을 맡기고 나는 너의 일을 떠올리며 수많은 생각에 슬퍼진다 우리는 단지 내일의 일도 지금은 알 수가 없으니까 그저 너의 등을 감싸 안으며 다 잘될 거라고 말할 수밖에 더 해줄 수 있는 일이 있을 것만 같아 초조해져 무거운 너의 어깨와 기나긴 하루 하루가 안타까워 내일은 정말 좋은 일이 너에게 생기면 좋겠어 너에겐 자격이 있으니까 이제 짐을 벗고 행복해지길 나는 간절하게 소원해 본다 이 세상은 너와 나에게도 잔인하고 두려운 곳이니까 언제라도 여기로 돌아와 집이 있잖아 내가 있잖아 내일은 정말 좋은 일이 우리를 기다려 주기를 새로운 태양이 떠오르기를 가장 간절하게 바라던 일이 이뤄지기를 난 기도해 본다"
"2","1122","하루의 끝 End of a day","125398","종현 JONGHYUN","손을 뻗어줘 내 목을 감싸줘 좀 더 아래 내 어깰 주물러 줘 지쳐버린 하루 끝 이미 해가 떴어도 난 이제야 눈을 감으니 남들보다 늦게 문을 닫는 나의 하루에 장난스럽게 귓볼을 간지럽히며 하루 종일 다른 세상에 있었어도 우린 항상 하루 끝은 함께 하니까 너의 그 작은 어깨가 너의 그 작은 두 손이 지친 내 하루 끝 포근한 이불이 되고 수고했어요 정말 고생했어요 네게도 내 어깨가 뭉툭한 나의 두 손이 지친 너의 하루 끝 포근한 위로가 되기를 자연스레 너와 숨을 맞추고파 빈틈없이 널 감싸 안는 욕조 속 물처럼 따뜻하게 또 하나도 빈틈없게 서툰 실수가 가득했던 창피한 내 하루 끝엔 너란 자랑거리 날 기다리니 너의 그 작은 어깨가 너의 그 작은 두 손이 지친 내 하루 끝 포근한 이불이 되고 수고했어요 정말 고생했어요 네게도 내 어깨가 뭉툭한 나의 두 손이 지친 너의 하루 끝 포근한 위로가 되기를 자연스레 너와 숨을 맞추고파 맘껏 울 수도 또 맘껏 웃을 수도 없는 지친 하루의 끝 그래도 그대 옆이면 어린아이처럼 칭얼대다 숨 넘어가듯 웃다 나도 어색해진 나를 만나죠 수고했어요 정말 고생했어요 그댄 나의 자랑이죠"
"3","1122","숨","206616","박효신","오늘 하루 쉴 숨이 오늘 하루 쉴 곳이 오늘만큼 이렇게 또 한번 살아가 침대 밑에 놓아둔 지난 밤에 꾼 꿈이 지친 맘을 덮으며 눈을 감는다 괜찮아 남들과는 조금은 다른 모양 속에 나 홀로 잠들어 다시 오는 아침에 눈을 뜨면 웃고프다 오늘 같은 밤 이대로 머물러도 될 꿈이라면 바랄 수 없는걸 바라도 된다면 두렵지 않다면 너처럼 오늘 같은 날 마른 줄 알았던 오래된 눈물이 흐르면 잠들지 않는 내 작은 가슴이 숨을 쉰다 끝도 없이 먼 하늘 날아가는 새처럼 뒤돌아 보지 않을래 이 길 너머 어딘가 봄이 힘없이 멈춰있던 세상에 비가 내리고 다시 자라난 오늘 그 하루를 살아 오늘 같은 밤 이대로 머물러도 될 꿈이라면 바랄 수 없는걸 바라도 된다면 두렵지 않다면 너처럼 오늘 같은 날 마른 줄 알았던 오래된 눈물이 흐르면 잠들지 않는 이 어린 가슴이 숨을 쉰다 고단했던 내 하루가 숨을 쉰다"
"4","1122","오르막길","98029","정인","이제부터 웃음기 사라질거야 가파른 이 길을 좀 봐 그래 오르기 전에 미소를 기억해두자 오랫동안 못 볼 지 몰라 완만했던 우리가 지나온 길엔 달콤한 사랑의 향기 이제 끈적이는 땀 거칠게 내쉬는 숨이 우리 유일한 대화일지 몰라 한걸음 이제 한걸음일 뿐 아득한 저 끝은 보지마 평온했던 길처럼 계속 나를 바라봐줘 그러면 견디겠어 사랑해 이 길 함께 가는 그대 굳이 고된 나를 택한 그대여 가끔 바람이 불 때만 저 먼 풍경을 바라봐 올라온 만큼 아름다운 우리 길 기억해 혹시 우리 손 놓쳐도 절대 당황하고 헤매지 마요 더 이상 오를 곳 없는 그 곳은 넓지 않아서 우린 결국엔 만나 오른다면 한 걸음 이제 한걸음일 뿐 아득한 저 끝은 보지마 평온했던 길처럼 계속 나를 바라봐줘 그러면 난 견디겠어 사랑해 이 길 함께 가는 그대여 굳이 고된 나를 택한 그대여 가끔 바람이 불 때만 저 먼 풍경을 바라봐 올라온 만큼 아름다운 우리 길 기억해 혹시 우리 손 놓쳐도 절대 당황하고 헤매지 마요 더 이상 오를 곳 없는 그 곳은 넓지 않아서 우린 결국엔 만나 크게 소리 쳐 사랑해요 저 끝까지"
"5","1122","Track 9","40624","이소라","나는 알지도 못한 채 태어나 날 만났고 내가 짓지도 않은 이 이름으로 불렸네 걷고 말하고 배우고 난 후로 난 좀 변했고 나대로 가고 멈추고 풀었네 세상은 어떻게든 나를 화나게 하고 당연한 고독 속에 살게 해 Hey you dont forget 고독하게 만들어 널 다그쳐 살아가 매일 독하게 부족하게 만들어 널 다그쳐 흘러가 나는 알지도 못한 채 이렇게 태어났고 태어난지도 모르게 그렇게 잊혀지겠지 존재하는 게 허무해 울어도 지나면 그 뿐 나대로 가고 멈추고 풀었네 세상은 어떻게든 나를 강하게 하고 평범한 불행 속에 살게 해 Hey you dont forget 고독하게 만들어 널 다그쳐 살아가 매일 독하게 부족하게 만들어 널 다그쳐 흘러가 Hey you dont forget 고독하게 만들어 널 다그쳐 살아가 매일 독하게 부족하게 만들어 널 다그쳐 흘러가 이 하늘 거쳐 지나가는 날 위해"
"6","1122","바람이 분다","94773","이소라","바람이 분다 서러운 마음에 텅 빈 풍경이 불어온다 머리를 자르고 돌아오는 길에 내내 글썽이던 눈물을 쏟는다 하늘이 젖는다 어두운 거리에 찬 빗방울이 떨어진다 무리를 지으며 따라오는 비는 내게서 먼 것 같아 이미 그친 것 같아  세상은 어제와 같고 시간은 흐르고 있고 나만 혼자 이렇게 달라져 있다 바람에 흩어져 버린 허무한 내 소원들은 애타게 사라져간다 바람이 분다 시린 한기 속에 지난 시간을 되돌린다 여름 끝에 선 너의 뒷모습이 차가웠던 것 같아 다 알 것 같아 내게는 소중해했던 잠 못 이루던 날들이 너에겐 지금과 다르지 않았다 사랑은 비극이어라 그대는 내가 아니다 추억은 다르게 적힌다  나의 이별은 잘 가라는 인사도 없이 치러진다 세상은 어제와 같고 시간은 흐르고 있고 나만 혼자 이렇게 달라져 있다 내게는 천금같았던 추억이 담겨져 있던 머리위로 바람이 분다 눈물이 흐른다"
"7","1122","별","7238","이소라","먼 하늘 별빛처럼 고요히 시간 속에서 빛나는 너 오늘도 말 한마디 못한 채 안녕 혼자서 되뇌인다 나 아무리 원해도 넌 도무지 닿을 수 없어 갈수록 멀어지는 알 수 없는 나의 별 움켜진 틈 사이로 흐르는 너는 모래처럼 스르륵 바슬거리는 이 마음은 마른 잎 되어 구른다 나 이렇게 너를 원해도 너에게 닿을 수 없어 갈수록 멀어지는 알 수 없는 나의 별 오늘도 말 한마디 못한 채 니 옆에 떠 있는 날 기억해 가늘게 솟아오는 눈썹달 이렇게 여윈 나를 기억해"
"8","1122","너에게기대","18350","메이트","우리 왜 이렇게 힘들기만 했는지 왜 그렇게 널 놓지 못했는지 참 바보 같아 참 바보 같아 너를 아직도 비워내지 못해 기억이란 게 내겐 그렇더라 힘들어하던 너의 모습보다 깊은 두 눈 옅은 네 웃음도 내겐 더 선명한 걸 가끔은 길고 긴 내 하루에 네가 있어줬으면 곁에 있어준다면 우리 언젠가 다시 만날 수 있을까 내가 너무 많이 바라는 걸까 너만 있다면 너 어디 있든지 내가 달려갈 텐데 가끔은 길고 긴 내 하루에 네가 있어줬으면 곁에 있어 준다면 아직도 네가 생각날 때면 난 이렇게 아픈데 너는 어떠니 그때는 왜 몰랐을까 날 사랑한다고 믿었던 내 철없던 시절의 기대도 아픈 사랑은 이제 끝내자 우리 기억도 짧은 추억도 이젠 가끔은 길고 긴 내 하루에 네가 있어줬으면 곁에 있어준다면 아직도 네가 생각날 때면 난 이렇게 아픈데 너도 나처럼 힘들까봐 웃어"
"9","1122","이렇게 살고 있어","8245","노리플라이 no reply","익숙해 지지가 않아서일까 텅 빈 맘에 집 앞을 서성이다와 좁은 방엔 온통 TV소리만 그 안에선 모두가 웃고 있는데 온종일 손에 잡히지 않는 일을 붙잡고 컴퓨터 앞에서 멍하니 하루를 보내 아직도 나지막이 네 이름 불러보곤 해 나 이렇게 살아 나 이렇게 살고 있어 오랜만에 나온 늦은 술자리 쓸데없는 농담에 웃기도 했어 다들 잊었나 봐 너란 사람을 혹시 나를 생각해 잊은 척 하는지 바쁘게 하루가 또 흐르고 집을 향하는 지하철 모퉁이 한 켠에 기대섰어 아직도 아스라한 네 얼굴 그려보곤 해 나 이렇게 살아 나 이렇게 살고 있어  나 이렇게 살아 나 이렇게 살고 있어"
"10","1122","스물다섯 스물하나","110612","자우림","바람에 날려 꽃이 지는 계절엔 아직도 너의 손을 잡은 듯 그런 듯 해 그때는 아직 꽃이 아름다운 걸 지금처럼 사무치게 알지 못했어 우 너의 향기가 바람에 실려 오네 우 영원할 줄 알았던 스물다섯 스물하나 그 날의 바다는 퍽 다정했었지 아직도 나의 손에 잡힐 듯 그런 듯 해 부서지는 햇살 속에 너와 내가 있어 가슴 시리도록 행복한 꿈을 꾸었지 우 그날의 노래가 바람에 실려 오네 우 영원할 줄 알았던 지난날의 너와 나 너의 목소리도 너의 눈동자도 애틋하던 너의 체온마저도 기억해내면 할수록 멀어져 가는데 흩어지는 널 붙잡을 수 없어 바람에 날려 꽃이 지는 계절엔 아직도 너의 손을 잡은 듯 그런 듯 해 그때는 아직 네가 아름다운 걸 지금처럼 사무치게 알지 못했어 우 너의 향기가 바람에 실려 오네 우 영원할 줄 알았던 스물다섯 스물하나 우 그날의 노래가 바람에 실려 오네 우 영원할 줄 알았던 지난날의 너와 나 우 우 우 영원할 줄 알았던 스물다섯 스물하나 스물다섯 스물하나"
